config_id,model_class,source,is_real_measured,notes,amota,amotp,mAP,lat_e2e_ms,est_orin_fp16_ms,est_orin_int8_ms,est_orin_uncertainty_ms,extrapolation_warning,m2_f_factor,params_after_M,mem_peak_mb,NDS,recall,mota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm,d_runtime,d_pipelined,d_temporal_cache_int8,prune_rate__encoder_ffn,prune_rate__decoder_ffn,prune_rate__encoder_attn,prune_rate__decoder_attn,prune_rate__encoder_heads,prune_rate__decoder_heads,decoder_num_layers
all_fp32_pt,univ2x_full,1.1_quant,True,all PyTorch FP32 baseline,0.338,,,5640.0,5349.067669667546,5241.268823682343,260.7007891439046,1.0,805.7142857142857,,,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
bev_fp16_trt,univ2x_full,1.1_quant,True,"BEV FP16 TRT, hookA",0.381,,,90.0,85.4550269420383,83.48613384812809,4.160118975700605,1.0,12.857142857142858,,,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,trt_fp16,0,0,,,,,,,
all_fp16_trt,univ2x_full,1.1_quant,True,"all FP16 TRT, hookA+B+C+D",0.37,,,90.0,85.4550269420383,83.48613384812809,4.160118975700605,1.0,12.857142857142858,,,,,,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,trt_fp16,0,0,,,,,,,
bev_int8_others_fp16,univ2x_full,1.1_quant,True,"BEV INT8 + 其余 FP16, vanilla PTQ",0.364,,,,,,,0.0,,,,,,,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,trt_int8,0,0,,,,,,,
heads_int8,univ2x_full,1.1_quant,True,下游头 INT8 修复后,0.341,,,,,,,0.0,,,,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,none,none,GPU,0.0,none,FP32,none,none,GPU,trt_int8,0,0,,,,,,,
prune_baseline,univ2x_full,1.2_prune,True,prune baseline FP32,0.3298,,0.0724,,,,,0.0,,,,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_20pct,univ2x_full,1.2_prune,True,FFN 20% 零微调,0.3055,,0.0669,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.19999999999999996,L1,FP32,none,none,GPU,0.19999999999999996,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_30pct,univ2x_full,1.2_prune,True,FFN 30% 零微调,0.3189,,0.0648,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.30000000000000004,L1,FP32,none,none,GPU,0.30000000000000004,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_40pct,univ2x_full,1.2_prune,True,FFN 40% 零微调,0.2973,,0.0628,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.4,L1,FP32,none,none,GPU,0.4,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_50pct,univ2x_full,1.2_prune,True,FFN 50% 零微调,0.2668,,0.0595,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_60pct,univ2x_full,1.2_prune,True,FFN 60% 零微调,0.2366,,0.0561,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.6,L1,FP32,none,none,GPU,0.6,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_30pct_ft_q1,univ2x_full,1.2_prune_ft,True,FFN 30% q=1 微调 3 epoch,0.3356,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.30000000000000004,L1,FP32,none,none,GPU,0.30000000000000004,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_30pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 30% q=2 微调,0.3306,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.30000000000000004,L1,FP32,none,none,GPU,0.30000000000000004,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_50pct_ft_q1,univ2x_full,1.2_prune_ft,True,FFN 50% q=1 微调,0.2904,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_50pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 50% q=2 微调,0.3129,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_60pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 60% q=2 微调 (Pareto 最优 trade),0.3354,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.6,L1,FP32,none,none,GPU,0.6,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_70pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 70% q=2 微调,0.3102,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.7,L1,FP32,none,none,GPU,0.7,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_80pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 80% q=2 微调,0.3102,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.8,L1,FP32,none,none,GPU,0.8,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
d22_bound_ffn60_int8,univ2x_full,1.2_joint,True,FFN 60% 绑定 + INT8 W+A,0.287,,0.071,,,,,0.0,,,,,,,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.6,L1,INT8,per-tensor,W+A,GPU,0.6,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,,,,,,,
