test,prec,mean_ms
resnet50_rep1,fp16,2.51851
resnet50_rep2,fp16,2.51739
resnet50_rep3,fp16,2.52188
resnet50_rep4,fp16,2.5488
resnet50_rep5,fp16,2.54486
resnet50_rep1,int8,1.76332
resnet50_rep2,int8,1.7753
resnet50_rep3,int8,1.77205
resnet50_rep4,int8,1.76825
resnet50_rep5,int8,1.75785
conv_outc63,fp16,0.0632503
conv_outc63,int8,0.0503869
conv_outc64,fp16,0.0630848
conv_outc64,int8,0.0502227
conv_outc90,fp16,0.0805063
conv_outc90,int8,0.0611343
conv_outc96,fp16,0.0812558
conv_outc96,int8,0.0609605
conv_inc63,fp16,0.0472023
conv_inc63,int8,0.04096
conv_inc64,fp16,0.0474396
conv_inc64,int8,0.0406271
conv_inc90,fp16,0.0603395
conv_inc90,int8,0.0445225
conv_inc96,fp16,0.0602953
conv_inc96,int8,0.0447197
