config_id,source,source_original,model_class,amota,amotp,mAP,NDS,lat_4090_pytorch_fp32_ms,est_orin_fp16_ms,est_orin_fp16_uncertainty_ms,est_orin_int8_ms,est_orin_int8_uncertainty_ms,extrapolation_warning,m2_f_extrapolation_factor,params_after_M,prune_rate__backbone,prune_rate__encoder_ffn,prune_rate__encoder_attn,prune_rate__encoder_heads,prune_rate__decoder_ffn,prune_rate__decoder_attn,prune_rate__decoder_heads,prune_rate__heads_mid,decoder_num_layers,q_bits__global_w,q_bits__global_a,q_bits__backbone,q_bits__encoder,q_bits__decoder,q_bits__heads,q_bits__v2x_comm,q_target,q_granularity_w,q_granularity_a,recall,mota,tp,fp,fn,gt,car_ap_4m,lat_e2e_std,params_reduction,lat_backbone_ms,lat_neck_ms,lat_bev_encoder_ms,lat_seg_head_ms,lat_track_head_decoder_ms,est_trt_latency_ms
C1,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2956,1.5324,0.0634,0.0593,508.601,482.45566042988344,23.50934079067004,472.50469091971235,18.56910641946511,True,72.65728571428572,98.263869,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,6,32,32,32,32,32,32,32,none,per_tensor,per_tensor,0.3981,0.2921,336.0,97.0,527.0,442.0,0.6006,13.248,0.0235,30.508,1.305,48.662,50.762,7.682,488.36525
C2,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2856,1.5481,0.0658,0.0602,526.991,499.896712051455,24.359391768038197,489.59507356224407,19.24052835346438,True,75.28442857142856,97.869885,0.0,0.625,0.0,0.0,0.25,0.0,0.0,0.0,6,32,32,32,32,32,32,32,none,per_tensor,per_tensor,0.4034,0.2807,343.0,76.0,519.0,442.0,0.6136,37.375,0.0274,30.538,1.287,48.016,53.591,9.05,482.047625
D1,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2924,1.5997,0.0489,0.0546,562.588,533.6568596628243,26.004811270016134,522.6764412036906,20.540180696290488,True,80.36971428571428,100.627773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,16,16,16,16,W,per_tensor,per_tensor,0.391,0.3195,327.0,74.0,551.0,442.0,0.4372,37.386,0.0,30.604,1.299,50.461,62.123,8.894,449.3956666666666
D2,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.3111,1.5742,0.0476,0.0536,524.747,497.76850542617996,24.25566613491073,487.5096565611651,19.158599543247178,True,74.96385714285714,100.627773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,16,8,8,16,16,W+A,per_channel,per_tensor,0.4091,0.3272,341.0,81.0,533.0,442.0,0.4348,16.795,0.0,30.488,1.285,49.889,53.016,8.009,429.7415
D3,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.302,1.5825,0.0484,0.0549,521.844,495.0153040744986,24.1214791861723,484.81181094880685,19.052610534307547,True,74.54914285714287,100.627773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,8,16,8,16,W+A,per_tensor,per_tensor,0.39,0.3259,314.0,65.0,566.0,442.0,0.434,11.929,0.0,30.627,1.306,50.608,53.755,7.827,410.56375
D4,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.3036,1.5845,0.0475,0.0538,525.382,498.3707385844017,24.285018085461505,488.0997812472993,19.181783498010066,True,75.05457142857142,100.627773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W+A,per_channel,per_channel,0.3824,0.3229,324.0,66.0,555.0,442.0,0.4321,37.184,0.0,30.559,1.276,49.915,58.161,7.931,408.6555
D5,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2903,1.6002,0.0485,0.0544,518.382,491.73194786384704,23.961453276240345,481.5944697466075,18.92621234314357,True,74.05457142857142,100.627773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W,per_tensor,per_tensor,0.3957,0.3112,324.0,88.0,553.0,442.0,0.4475,24.928,0.0,30.607,1.313,50.456,53.766,7.769,468.038
E1,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2961,1.5825,0.0475,0.0538,528.854,501.66357878179696,24.445506230835203,491.3264157516425,19.308546790823854,True,75.55057142857143,99.839805,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W+A,per_tensor,per_tensor,0.3874,0.3051,326.0,81.0,552.0,442.0,0.4425,17.677,0.0078,30.543,1.296,49.185,53.887,7.907,405.4966875
E11,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2526,1.6252,0.0431,0.0472,508.874,482.7145732679851,23.521959818229668,472.75839806823933,18.579073694504906,True,72.69628571428572,94.849341,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,6,8,8,16,8,8,8,8,W+A,per_tensor,per_tensor,0.3499,0.2647,297.0,81.0,581.0,442.0,0.4167,12.839,0.0574,30.685,1.292,48.077,50.877,7.64,409.04975
E12,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2511,1.5926,0.0419,0.0475,508.756,482.60266222441,23.51650544001708,472.6487371029419,18.574765495037155,True,72.67942857142857,97.081917,0.0,0.625,0.0,0.0,0.5,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W,per_tensor,per_tensor,0.3593,0.266,293.0,75.0,585.0,442.0,0.4026,18.809,0.0352,30.563,1.301,48.465,50.531,7.803,444.43491666666665
E2,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2781,1.5778,0.0464,0.0517,545.712,517.6516836342413,25.2247427385281,506.9930645057371,19.924035152072342,True,77.95885714285714,99.051837,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W+A,per_tensor,per_tensor,0.3633,0.2998,309.0,63.0,570.0,442.0,0.4523,29.379,0.0157,30.637,1.348,49.407,53.516,8.93,402.337875
E3,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2775,1.588,0.0471,0.0527,526.485,499.4168223222263,24.336002654685927,489.1248324737655,19.222054209984034,True,75.21214285714287,98.657853,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W+A,per_tensor,per_tensor,0.3757,0.3005,320.0,73.0,556.0,442.0,0.4486,17.896,0.0196,30.522,1.297,47.932,53.068,7.874,400.75846875
