triplet,triplet_sig,stage0_planes,stage1_planes,stage2_planes,precision,d_tactic,d_workspace_gb,build_success,fail_reason,build_secs,lat_p50_ms,lat_p99_ms,lat_mean_ms,engine_size_mb
T_baseline,064_128_256,64,128,256,fp16,default,4,True,,51.30409479141235,1.2728320360183716,1.2820255720615388,1.2730496156215667,13.024564
T_baseline,064_128_256,64,128,256,fp16,default,8,True,,43.95473670959473,1.3341120481491089,1.3384080576896669,1.3339497709274293,12.776468
T_baseline,064_128_256,64,128,256,fp16,with_cudnn,4,True,,43.91370916366577,1.2656959891319275,1.2729229152202606,1.266125111579895,12.727788
T_baseline,064_128_256,64,128,256,fp16,with_cudnn,8,True,,44.520841121673584,1.3322240114212036,1.3455462336540223,1.3097776079177856,13.253908
T_baseline,064_128_256,64,128,256,fp16,edge_only,4,True,,44.292192697525024,1.2697280049324036,1.274880051612854,1.2693667304515839,12.922372
T_baseline,064_128_256,64,128,256,fp16,edge_only,8,True,,44.70366168022156,1.3357599973678589,1.3433398389816285,1.3257894539833068,13.039252
T_baseline,064_128_256,64,128,256,fp16,all_enabled,4,True,,44.62930202484131,1.2687360048294067,1.280010211467743,1.2688368034362794,12.789692
T_baseline,064_128_256,64,128,256,fp16,all_enabled,8,True,,45.368181467056274,1.2695840001106262,1.2748902916908265,1.2692649638652802,12.963132
T_baseline,064_128_256,64,128,256,int8,default,4,True,,93.83172845840454,0.8120319843292236,0.8162432211637499,0.8123075157403946,8.606124
T_baseline,064_128_256,64,128,256,int8,default,8,True,,89.35278367996216,0.8529919981956482,0.8611932730674744,0.8534592002630234,8.108036
T_baseline,064_128_256,64,128,256,int8,with_cudnn,4,True,,86.14951872825623,0.8581119775772095,0.8691718482971227,0.8655414390563965,7.754892
T_baseline,064_128_256,64,128,256,int8,with_cudnn,8,True,,86.30915379524231,0.858159989118576,0.8633008164167405,0.8470828777551651,8.467852
T_baseline,064_128_256,64,128,256,int8,edge_only,4,True,,86.44414782524109,0.8478720188140869,0.8509526228904725,0.8479779267311096,8.038372
T_baseline,064_128_256,64,128,256,int8,edge_only,8,True,,87.31417202949524,0.8457919955253601,0.8488960266113281,0.8456704014539719,8.259692
T_baseline,064_128_256,64,128,256,int8,all_enabled,4,True,,85.97451877593994,0.8560640215873718,0.860096617937088,0.8560972863435745,8.626108
T_baseline,064_128_256,64,128,256,int8,all_enabled,8,True,,86.18183279037476,0.8529919981956482,0.857088029384613,0.8462499219179154,8.563252
T_prune50,032_064_136,32,64,136,fp16,default,4,True,,45.50586485862732,1.0743839740753174,1.0794963586330413,1.0748422276973724,8.003572
T_prune50,032_064_136,32,64,136,fp16,default,8,True,,45.47729134559631,1.0158079862594604,1.0188812899589539,1.0156255912780763,7.986388
T_prune50,032_064_136,32,64,136,fp16,with_cudnn,4,True,,44.94140601158142,1.0171359777450562,1.0219619524478913,1.0174137556552887,7.843948
T_prune50,032_064_136,32,64,136,fp16,with_cudnn,8,True,,45.40662455558777,1.01283198595047,1.0187001240253448,1.0132502293586731,7.470164
T_prune50,032_064_136,32,64,136,fp16,edge_only,4,True,,45.68925929069519,1.0680320262908936,1.0711222887039185,1.067969297170639,7.518484
T_prune50,032_064_136,32,64,136,fp16,edge_only,8,True,,46.877153158187866,1.026960015296936,1.0322739124298097,1.026975350379944,7.912276
T_prune50,032_064_136,32,64,136,fp16,all_enabled,4,True,,46.15324282646179,1.070080041885376,1.1048345530033241,1.0959021055698395,7.804172
T_prune50,032_064_136,32,64,136,fp16,all_enabled,8,True,,46.21115684509277,1.06496000289917,1.0679155158996583,1.0651075184345244,7.726428
T_prune50,032_064_136,32,64,136,int8,default,4,True,,92.93996834754944,0.8253440260887146,0.8276556640863418,0.8256198406219483,5.026644
T_prune50,032_064_136,32,64,136,int8,default,8,True,,93.77815055847168,0.8304640054702759,0.8335667484998703,0.8206499236822128,5.110204
T_prune50,032_064_136,32,64,136,int8,with_cudnn,4,True,,94.05470585823059,0.8396160006523132,0.8417462122440338,0.8362169671058655,5.02614
T_prune50,032_064_136,32,64,136,int8,with_cudnn,8,True,,94.47924256324768,0.8385759890079498,0.8417484521865845,0.8231120014190674,5.066444
T_prune50,032_064_136,32,64,136,int8,edge_only,4,True,,94.63728904724121,0.839680016040802,0.8437759876251221,0.8402220833301545,5.338444
T_prune50,032_064_136,32,64,136,int8,edge_only,8,True,,94.13964056968689,0.8447999954223633,0.8468566507101059,0.8449110352993011,5.130516
T_prune50,032_064_136,32,64,136,int8,all_enabled,4,True,,94.3882303237915,0.8642560243606567,0.8684543961286545,0.8644601613283157,6.002124
T_prune50,032_064_136,32,64,136,int8,all_enabled,8,True,,94.57491493225098,0.8465760052204132,0.8499199748039246,0.8466576051712036,5.047948
T_prune75,016_032_064,16,32,64,fp16,default,4,True,,50.557472229003906,0.8275839984416962,0.8314880132675171,0.8226755130290985,5.726236
T_prune75,016_032_064,16,32,64,fp16,default,8,True,,49.219640254974365,0.7598080039024353,0.7618560194969177,0.7596348816156387,5.6989
T_prune75,016_032_064,16,32,64,fp16,with_cudnn,4,True,,49.577592849731445,0.822272002696991,0.8253449857234955,0.8223587214946747,5.77562
T_prune75,016_032_064,16,32,64,fp16,with_cudnn,8,True,,49.13871645927429,0.814079999923706,0.8171641832590103,0.809012480378151,5.93146
T_prune75,016_032_064,16,32,64,fp16,edge_only,4,True,,49.68194103240967,0.8202239871025085,0.8332825869321823,0.8038649624586105,6.073956
T_prune75,016_032_064,16,32,64,fp16,edge_only,8,True,,50.67039394378662,0.760672003030777,0.7629218953847885,0.7605254447460175,5.808564
T_prune75,016_032_064,16,32,64,fp16,all_enabled,4,True,,49.95872664451599,0.8099360167980194,0.8130559921264648,0.8097772860527038,5.953748
T_prune75,016_032_064,16,32,64,fp16,all_enabled,8,True,,50.44601011276245,0.8049440085887909,0.8161363351345062,0.8062982338666916,5.584532
T_prune75,016_032_064,16,32,64,int8,default,4,True,,101.51259899139404,0.6410239934921265,0.6440009540319442,0.6412300747632981,4.364492
T_prune75,016_032_064,16,32,64,int8,default,8,True,,100.92411780357361,0.6450720131397247,0.6473126512765884,0.6448464053869247,4.460652
T_prune75,016_032_064,16,32,64,int8,with_cudnn,4,True,,99.56442141532898,0.6357599794864655,0.6389842981100082,0.6355641680955887,4.613932
T_prune75,016_032_064,16,32,64,int8,with_cudnn,8,True,,101.2425811290741,0.6353600025177002,0.6369382619857789,0.6353379267454148,4.377316
T_prune75,016_032_064,16,32,64,int8,edge_only,4,True,,100.91105842590332,0.6297600269317627,0.632842230796814,0.6299436867237092,4.537004
T_prune75,016_032_064,16,32,64,int8,edge_only,8,True,,101.86776781082153,0.6399999856948853,0.6430732887983323,0.6401961523294449,4.369812
T_prune75,016_032_064,16,32,64,int8,all_enabled,4,True,,102.82438802719116,0.6369280219078064,0.6402105325460434,0.6374723303318024,4.809988
T_prune75,016_032_064,16,32,64,int8,all_enabled,8,True,,103.1390962600708,0.6532320082187653,0.6553599834442139,0.6529814457893371,4.800412
