triplet,triplet_sig,stage0_planes,stage1_planes,stage2_planes,precision,cuda_graph,lat_p50_ms,lat_p99_ms,lat_mean_ms,lat_std_ms
T_baseline,064_128_256,64,128,256,fp16,off,1.260543942451477,1.2636159658432007,1.260190715789795,0.0017395526718192408
T_baseline,064_128_256,64,128,256,fp16,on,1.2052479982376099,1.21343994140625,1.2053094381093978,0.0028018075018738046
T_baseline,064_128_256,64,128,256,int8,off,0.814079999923706,0.8284262299537659,0.8162417656183243,0.006793811591574612
T_baseline,064_128_256,64,128,256,int8,on,0.7526400089263916,0.7669862389564515,0.7530649635195732,0.0033765263221199587
T_prune50,032_064_136,32,64,136,fp16,off,1.0276480317115784,1.035264015197754,1.0278534179925918,0.0024234765973488964
T_prune50,032_064_136,32,64,136,fp16,on,0.9656320214271545,0.9687039852142334,0.9660262539982796,0.0013610964848948502
T_prune50,032_064_136,32,64,136,int8,off,0.7802879810333252,0.7825679910182953,0.7804068660736084,0.0009503396825599864
T_prune50,032_064_136,32,64,136,int8,on,0.7219200134277344,0.7444480061531067,0.7233075278997422,0.005715071215705732
T_prune75,016_032_064,16,32,64,fp16,off,0.766975998878479,0.776192969083786,0.7681727996468544,0.0032338826424398665
T_prune75,016_032_064,16,32,64,fp16,on,0.711679995059967,0.7188582301139832,0.7122892734408378,0.002317270013873191
T_prune75,016_032_064,16,32,64,int8,off,0.6052799820899963,0.6123520135879517,0.6062462505698204,0.0020269636359602234
T_prune75,016_032_064,16,32,64,int8,on,0.5488640069961548,0.5602509051561345,0.5504960054159165,0.012793854596799173
