cfg_id,triplet_sig,precision,d_scheme,d_tactic,d_workspace,build_success,lat_p50_ms,lat_p99_ms,lat_mean_ms,fail_reason
016_032_064_fp16_A_gpu_default_1GB,016_032_064,fp16,A_gpu,default,1GB,True,26.5161,27.8541,26.5214,""
016_032_064_fp16_A_gpu_default_2GB,016_032_064,fp16,A_gpu,default,2GB,True,26.3828,26.5283,26.3827,""
016_032_064_fp16_A_gpu_no_cudnn_1GB,016_032_064,fp16,A_gpu,no_cudnn,1GB,True,26.5459,27.6292,26.5558,""
016_032_064_fp16_A_gpu_no_cudnn_2GB,016_032_064,fp16,A_gpu,no_cudnn,2GB,True,26.566,26.6479,26.5636,""
016_032_064_fp16_B_dla0_default_1GB,016_032_064,fp16,B_dla0,default,1GB,True,20.5566,20.6719,20.5594,""
016_032_064_fp16_B_dla0_default_2GB,016_032_064,fp16,B_dla0,default,2GB,True,20.5649,20.5756,20.565,""
016_032_064_fp16_B_dla0_no_cudnn_1GB,016_032_064,fp16,B_dla0,no_cudnn,1GB,True,20.5664,20.5771,20.5668,""
016_032_064_fp16_B_dla0_no_cudnn_2GB,016_032_064,fp16,B_dla0,no_cudnn,2GB,True,20.562,20.5723,20.5621,""
016_032_064_fp16_B_dla1_default_1GB,016_032_064,fp16,B_dla1,default,1GB,True,20.6926,20.7487,20.6938,""
016_032_064_fp16_B_dla1_default_2GB,016_032_064,fp16,B_dla1,default,2GB,True,20.6953,20.7786,20.6975,""
016_032_064_fp16_B_dla1_no_cudnn_1GB,016_032_064,fp16,B_dla1,no_cudnn,1GB,True,20.6914,20.7705,20.6931,""
016_032_064_fp16_B_dla1_no_cudnn_2GB,016_032_064,fp16,B_dla1,no_cudnn,2GB,True,20.6919,20.7754,20.6936,""
016_032_064_int8_A_gpu_default_1GB,016_032_064,int8,A_gpu,default,1GB,True,20.7734,21.1633,20.7709,""
016_032_064_int8_A_gpu_default_2GB,016_032_064,int8,A_gpu,default,2GB,True,20.7124,21.1484,20.6497,""
016_032_064_int8_A_gpu_no_cudnn_1GB,016_032_064,int8,A_gpu,no_cudnn,1GB,True,20.3525,20.3812,20.3524,""
016_032_064_int8_A_gpu_no_cudnn_2GB,016_032_064,int8,A_gpu,no_cudnn,2GB,True,20.3535,21.042,20.3969,""
016_032_064_int8_B_dla0_default_1GB,016_032_064,int8,B_dla0,default,1GB,False,,,,"[05/11/2026-13:16:46] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
016_032_064_int8_B_dla0_default_2GB,016_032_064,int8,B_dla0,default,2GB,False,,,,"[05/11/2026-13:16:52] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
016_032_064_int8_B_dla0_no_cudnn_1GB,016_032_064,int8,B_dla0,no_cudnn,1GB,False,,,,"[05/11/2026-13:16:58] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
016_032_064_int8_B_dla0_no_cudnn_2GB,016_032_064,int8,B_dla0,no_cudnn,2GB,False,,,,"[05/11/2026-13:17:04] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
