triplet,triplet_sig,stage0_planes,stage1_planes,stage2_planes,config_label,stage0_prec,stage1_prec,stage2_prec,lat_p50_ms,lat_p99_ms,lat_mean_ms,engine_size_mb,build_secs
T_baseline,064_128_256,64,128,256,c3_I_F_F,INT8,FP16,FP16,0.9635840058326721,0.9697279930114746,0.9503593611717224,7.902492,88.225759267807
T_baseline,064_128_256,64,128,256,c4_F_I_F,FP16,INT8,FP16,0.9869280159473419,0.9922659057378769,0.9765368023514748,8.05038,84.80622792243958
T_baseline,064_128_256,64,128,256,c5_F_F_I,FP16,FP16,INT8,0.9277439713478088,0.9850879907608032,0.9481553614139557,8.170764,85.60511112213135
T_baseline,064_128_256,64,128,256,c6_I_I_F,INT8,INT8,FP16,1.0445119738578796,1.1079782128334046,1.0705787253379822,10.946444,84.40695261955261
T_baseline,064_128_256,64,128,256,c7_I_F_I,INT8,FP16,INT8,1.06496000289917,1.1264102339744568,1.0800599908828736,8.285428,84.20000791549683
T_baseline,064_128_256,64,128,256,c8_F_I_I,FP16,INT8,INT8,1.136639952659607,1.1427942395210267,1.1268769520521165,8.443332,85.37210512161255
T_prune50,032_064_136,32,64,136,c3_I_F_F,INT8,FP16,FP16,0.9031680226325989,0.9605110150575638,0.9209475222229958,5.522988,92.41491627693176
T_prune50,032_064_136,32,64,136,c4_F_I_F,FP16,INT8,FP16,0.9533759951591492,0.9594959747791291,0.9515334361791611,5.483236,92.61545825004578
T_prune50,032_064_136,32,64,136,c5_F_F_I,FP16,FP16,INT8,0.9026560187339783,0.9587567764520645,0.9246587190032005,5.053996,92.53165888786316
T_prune50,032_064_136,32,64,136,c6_I_I_F,INT8,INT8,FP16,0.9328640103340149,0.992192610502243,0.9474676796793937,5.719668,90.62170457839966
T_prune50,032_064_136,32,64,136,c7_I_F_I,INT8,FP16,INT8,0.9748479723930359,1.038082216978073,0.9958995205163955,5.0187,93.30592060089111
T_prune50,032_064_136,32,64,136,c8_F_I_I,FP16,INT8,INT8,1.0106879472732544,1.0179173898696898,1.0045142310857773,5.262148,90.66494655609131
T_prune75,016_032_064,16,32,64,c3_I_F_F,INT8,FP16,FP16,0.7206720113754272,0.7238729661703109,0.7053497606515884,4.054132,96.73165941238403
T_prune75,016_032_064,16,32,64,c4_F_I_F,FP16,INT8,FP16,0.7248159945011139,0.7270707130432129,0.718928961455822,4.370004,96.95472121238708
T_prune75,016_032_064,16,32,64,c5_F_F_I,FP16,FP16,INT8,0.7300800085067749,0.7331839799880981,0.7288483265042305,4.266932,100.17656636238098
T_prune75,016_032_064,16,32,64,c6_I_I_F,INT8,INT8,FP16,0.6871039867401123,0.6901760101318359,0.6869155058264732,4.268764,153.8745834827423
T_prune75,016_032_064,16,32,64,c7_I_F_I,INT8,FP16,INT8,0.6850559711456299,0.7267225372791275,0.695548948943615,3.88206,158.42012858390808
T_prune75,016_032_064,16,32,64,c8_F_I_I,FP16,INT8,INT8,0.6430720090866089,0.6819846475124359,0.6451056036353111,4.3111,167.5127773284912
