triplet_sig,stage0_planes,stage1_planes,stage2_planes,stage0_rate,stage1_rate,stage2_rate,precision,lat_p50_ms,lat_p99_ms,lat_mean_ms,engine_size_mb,build_secs
064_128_256,64,128,256,0.0,0.0,0.0,fp16,1.244928002357483,1.3383782970905305,1.26589488863945,12.587044,48.54249167442322
064_128_256,64,128,256,0.0,0.0,0.0,int8,0.793071985244751,0.8589142310619354,0.8181689628958702,8.893036,116.90278220176697
032_040_128,32,40,128,0.5,0.6875,0.5,fp16,1.090559959411621,1.097738254070282,1.0727182304859162,7.491236,50.44795083999634
032_040_128,32,40,128,0.5,0.6875,0.5,int8,0.8622080087661743,0.9316505759954452,0.8658014392852783,4.875532,119.39310121536255
016_032_032,16,32,32,0.75,0.75,0.875,fp16,0.848719984292984,0.8550425738096237,0.8403640022873878,5.928364,55.473623752593994
016_032_032,16,32,32,0.75,0.75,0.875,int8,0.6888319849967957,0.6932349056005478,0.6888724794983864,4.256204,127.85674095153809
016_016_040,16,16,40,0.75,0.875,0.8438,fp16,0.7658720016479492,0.7946322911977768,0.7672732764482498,5.257372,52.985999584198
016_016_040,16,16,40,0.75,0.875,0.8438,int8,0.5136640071868896,0.5601353335380554,0.5276433575153351,4.12962,126.7412416934967
024_016_040,24,16,40,0.625,0.875,0.8438,fp16,0.7454720139503479,0.7637955242395401,0.7429583996534348,5.424116,53.192829847335815
024_016_040,24,16,40,0.625,0.875,0.8438,int8,0.5620000064373016,0.5642240047454834,0.5617780724167823,4.092236,132.29710030555725
016_064_136,16,64,136,0.75,0.5,0.4688,fp16,0.8591359853744507,0.865300452709198,0.839124639928341,7.318428,54.31762099266052
016_064_136,16,64,136,0.75,0.5,0.4688,int8,0.6154559850692749,0.6203641897439957,0.6089020797610283,5.223092,129.54140162467957
016_064_064,16,64,64,0.75,0.5,0.75,fp16,0.7482560276985168,0.8151420879364013,0.7596051245927811,5.57818,51.31503653526306
016_064_064,16,64,64,0.75,0.5,0.75,int8,0.6005920171737671,0.6041702508926392,0.585494233071804,4.954164,126.99078369140625
016_032_072,16,32,72,0.75,0.75,0.7188,fp16,0.8231199979782104,0.8285856282711029,0.8228673616051674,6.240604,56.02565932273865
016_032_072,16,32,72,0.75,0.75,0.7188,int8,0.6121120154857635,0.6645983940362931,0.6202676829695701,4.290804,134.27719807624817
016_032_024,16,32,24,0.75,0.75,0.9062,fp16,0.7113440036773682,0.7741452741622925,0.7327551984786987,5.47306,57.03246593475342
016_032_024,16,32,24,0.75,0.75,0.9062,int8,0.6428800225257874,0.6461612528562546,0.6429320025444031,4.459108,134.27260828018188
032_064_136,32,64,136,0.5,0.5,0.4688,fp16,1.0751999616622925,1.0864733266830444,1.0587273567914963,7.498492,51.803624391555786
032_064_136,32,64,136,0.5,0.5,0.4688,int8,0.7587839961051941,0.8273945420980453,0.7805889570713043,4.783804,122.46283149719238
032_032_032,32,32,32,0.5,0.75,0.875,fp16,1.0516480207443237,1.057113937139511,1.0394203305244445,5.814516,48.38756060600281
032_032_032,32,32,32,0.5,0.75,0.875,int8,0.8212479948997498,0.8878080248832703,0.8279838353395462,4.198212,112.3272876739502
016_024_072,16,24,72,0.75,0.8125,0.7188,fp16,0.737280011177063,0.768641911745069,0.7514038413763047,5.674044,54.42107629776001
016_024_072,16,24,72,0.75,0.8125,0.7188,int8,0.5498720109462738,0.5519359707832336,0.5497844856977463,4.355044,133.79680800437927
032_040_016,32,40,16,0.5,0.6875,0.9375,fp16,1.0212479829788208,1.0414284229278565,1.0102102446556092,5.602532,52.48689293861389
032_040_016,32,40,16,0.5,0.6875,0.9375,int8,0.7847200036048889,0.8508806663751602,0.8048014426231385,4.505564,121.05664420127869
024_040_032,24,40,32,0.625,0.6875,0.875,fp16,0.8857600092887878,0.8929683244228362,0.8720988816022873,6.608396,51.943941831588745
024_040_032,24,40,32,0.625,0.6875,0.875,int8,0.6400479972362518,0.6973465651273727,0.6623307153582573,4.22338,130.86276650428772
016_016_064,16,16,64,0.75,0.875,0.75,fp16,0.6512640118598938,0.7376793712377545,0.6755177599191665,5.53074,53.10436725616455
016_016_064,16,16,64,0.75,0.875,0.75,int8,0.5026559829711914,0.5468262314796448,0.5153382429480553,3.869052,128.80129981040955
040_072_072,40,72,72,0.375,0.4375,0.7188,fp16,1.0500800013542175,1.0854400396347046,1.037413431406021,6.670564,48.54698443412781
040_072_072,40,72,72,0.375,0.4375,0.7188,int8,0.7700480222702026,0.8376524806022644,0.7893024039268494,4.793156,117.63187789916992
032_072_128,32,72,128,0.5,0.4375,0.5,fp16,1.0751999616622925,1.0854470789432527,1.0530331110954285,7.844948,50.01744103431702
032_072_128,32,72,128,0.5,0.4375,0.5,int8,0.777536004781723,0.845843523144722,0.8037881633639335,4.790868,123.3819797039032
016_040_136,16,40,136,0.75,0.6875,0.4688,fp16,0.8888639807701111,0.8949862599372864,0.8823774406313896,7.515724,55.93835473060608
016_040_136,16,40,136,0.75,0.6875,0.4688,int8,0.6611680090427399,0.7217695754766464,0.6741857603192329,5.622516,132.9869899749756
016_064_072,16,64,72,0.75,0.5,0.7188,fp16,0.8258079886436462,0.8345692574977874,0.8206878426671028,5.873716,52.44139885902405
016_064_072,16,64,72,0.75,0.5,0.7188,int8,0.6007999777793884,0.6043955308198927,0.600952313542366,4.827132,130.8308880329132
024_072_072,24,72,72,0.625,0.4375,0.7188,fp16,0.8273919820785522,0.8395635056495666,0.8000411203503609,6.35426,51.94502019882202
024_072_072,24,72,72,0.625,0.4375,0.7188,int8,0.5743039846420288,0.6256639957427979,0.5950753590464593,4.680324,127.25903916358948
