model,backend,scope,precision,label,width,default_ms,tuned_ms,speedup_default_over_tuned,evidence_status,source_file,notes
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,p75,"[16,32,64]",12.68907,0.48363,26.237,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,mix_c,"[16,128,128]",30.7439,5.0997,6.029,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,s0_16,"[16,128,256]",39.46154,5.84542,6.751,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,p50,"[32,64,128]",26.24167,3.01051,8.717,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,mix_a,"[32,96,192]",35.80862,5.65235,6.335,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,s0_32,"[32,128,256]",44.66572,5.98232,7.466,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,mix_b,"[48,64,256]",41.46019,19.40495,2.137,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,trap25,"[48,96,192]",42.35527,21.6148,1.96,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,mix_d,"[48,128,128]",42.44741,21.07143,2.014,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,iso_s0,"[48,128,256]",51.24903,21.75209,2.356,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,s1_32,"[64,32,256]",41.87736,3.75858,11.142,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,s1_64,"[64,64,256]",46.44527,5.89456,7.879,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,mix_e,"[64,96,128]",42.78579,14.66949,2.917,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,pad64,"[64,96,192]",47.40726,6.15204,7.706,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,iso_s1,"[64,96,256]",51.62249,6.91063,7.47,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,s2_64,"[64,128,64]",43.59423,5.03423,8.66,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,s2_128,"[64,128,128]",47.43527,5.50657,8.614,trusted_measured,results/latency_lut_pyramid.json,pair3 P_g; seed=42 fresh workdir fixed seed=0 CUDA illegal-access; task#4 0 trials (consistent); SUBPROCESS VALIDATION PASSED; 200reps x5 repeats
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,iso_s2,"[64,128,192]",51.99238,7.24361,7.178,trusted_measured,results/latency_lut_pyramid.json,
pyramid_lidar,h800_tvm_relax_metaschedule,backbone_only,fp16,base,"[64,128,256]",56.32121,6.31998,8.912,trusted_measured,results/latency_lut_pyramid.json,
