label,ap70,energy_j_per_inf,latency_default_ms,latency_metaschedule_tuned_ms,latency_default_run_id,latency_metaschedule_tuned_run_id,energy_run_id,ap_run_id
base,0.6308636231895992,1.92440024,56.323715,6.212762,calib_h800_tvm_pyramid_base_p2_latency_repeat_20260625_233645_default,calib_h800_tvm_pyramid_base_p2_latency_repeat_20260625_233645_metaschedule_tuned,calib_h800_tvm_energy_pyramid_base_p1_energy_20260625_233146,smoke_ap_pyramid_base_fp16_import_stage_a_20260625_194000
p50,0.5641315043713827,0.69541708,26.239023,3.010426,calib_h800_tvm_pyramid_p50_p2_latency_repeat_20260625_234009_default,calib_h800_tvm_pyramid_p50_p2_latency_repeat_20260625_234009_metaschedule_tuned,calib_h800_tvm_energy_pyramid_p50_p1_energy_20260625_233245,smoke_ap_pyramid_p50_fp16_import_stage_a_20260625_194000
trap25,0.5904723815291678,,42.358457,30.169297,calib_h800_tvm_pyramid_trap25_p2_latency_repeat_20260625_234205_default,calib_h800_tvm_pyramid_trap25_p2_latency_repeat_20260625_234205_metaschedule_tuned,,smoke_ap_pyramid_trap25_fp16_import_stage_a_20260625_204500
p75,0.5299883430444458,0.05715494,12.674737,0.483032,calib_h800_tvm_pyramid_p75_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_p75_fp16_tuned_clean_20260625_203000,calib_h800_tvm_energy_pyramid_p75_p1_energy_20260625_233332,smoke_ap_pyramid_p75_fp16_import_stage_a_20260625_204500
mix_b,0.6361597419498289,4.68204594,41.429098,19.401178,calib_h800_tvm_pyramid_mix_b_p2_latency_repeat_20260625_234558_default,calib_h800_tvm_pyramid_mix_b_p2_latency_repeat_20260625_234558_metaschedule_tuned,calib_h800_tvm_energy_pyramid_mix_b_p1_energy_20260625_233414,smoke_ap_pyramid_mix_b_fp16_import_b4expand_20260625_204500
mix_d,0.6369383152509643,5.31429918,42.436141,21.050262,calib_h800_tvm_pyramid_mix_d_p2_latency_repeat_20260625_234914_default,calib_h800_tvm_pyramid_mix_d_p2_latency_repeat_20260625_234914_metaschedule_tuned,calib_h800_tvm_energy_pyramid_mix_d_p1_energy_20260625_233528,smoke_ap_pyramid_mix_d_fp16_import_b4expand_20260625_204500
iso_s0,0.6299191671696608,,51.191752,21.72284,calib_h800_tvm_pyramid_iso_s0_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_iso_s0_fp16_tuned_clean_20260625_203000,,ap_p1_iso_s0_20260625
iso_s1,0.6335990600322648,,51.623513,6.917596,calib_h800_tvm_pyramid_iso_s1_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_iso_s1_fp16_tuned_clean_20260625_203000,,ap_p1_iso_s1_20260625
iso_s2,0.6338902378413247,,51.956699,7.25165,calib_h800_tvm_pyramid_iso_s2_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_iso_s2_fp16_tuned_clean_20260625_203000,,ap_p1_iso_s2_20260625
mix_a,0.6287552124269079,,35.793215,5.658444,calib_h800_tvm_pyramid_mix_a_fp16_medium_clean_g012_20260625_202323_default_schedule,calib_h800_tvm_pyramid_mix_a_fp16_medium_clean_g012_20260625_202323,,ap_p1_mix_a_20260625
p50b2_136,0.6425296366136182,,,,,,,ap_p1_p50b2_136_20260625
