timestamp_s,power_w
1782400026.537528,218.060
1782400026.720110,258.160
1782400026.887009,282.670
1782400027.007305,307.980
1782400027.127142,333.270
1782400027.246915,384.100
1782400027.411718,383.800
1782400027.576262,383.550
1782400027.743524,384.030
1782400027.886556,384.940
1782400028.009346,384.920
1782400028.173134,384.520
1782400028.293852,383.960
1782400028.416390,383.240
1782400028.538327,384.320
1782400028.686669,385.030
1782400028.809734,385.580
1782400028.951062,386.250
1782400029.072654,385.830
1782400029.192802,385.640
1782400029.312891,386.970
1782400029.455215,389.080
1782400029.575178,389.600
1782400029.694838,389.640
1782400029.840319,389.290
1782400029.993280,388.990
1782400030.156395,390.510
1782400030.323647,390.300
1782400030.497787,387.830
1782400030.680867,385.850
1782400031.415679,385.460
1782400031.585714,385.360
1782400031.747534,384.880
1782400031.892973,383.880
1782400032.034525,383.870
1782400032.196730,384.020
1782400032.338658,384.480
1782400032.493450,385.640
1782400032.700268,386.030
1782400032.823351,385.450
1782400032.992891,385.050
1782400033.114217,385.020
1782400033.255748,385.900
1782400033.376775,386.050
1782400033.505700,385.840
1782400033.629594,385.440
1782400033.769288,385.340
1782400033.889310,385.410
1782400034.030935,386.080
1782400034.149801,387.130
1782400034.270710,386.360
1782400034.389790,386.000
1782400034.508519,385.790
1782400034.677008,385.950
1782400034.832991,387.330
1782400035.000865,387.330
1782400035.123001,387.590
1782400035.243004,386.420
1782400035.362210,386.340
1782400035.484167,386.890
1782400035.614489,387.440
1782400035.793667,388.040
