timestamp_s,power_w
1782401688.992494,305.820
1782401689.164469,307.330
1782401689.308101,307.200
1782401689.454700,307.780
1782401689.620950,308.430
1782401689.742711,308.270
1782401689.881241,307.680
1782401690.051346,307.410
1782401690.175885,307.800
1782401690.314827,308.270
1782401690.468252,308.270
1782401690.640373,307.670
1782401690.760711,307.570
1782401690.923386,308.110
1782401691.041885,307.630
1782401691.186582,307.060
1782401691.327656,307.630
1782401691.470847,308.110
1782401691.609616,307.540
1782401691.772729,307.420
1782401691.891708,307.710
1782401692.029386,308.350
1782401692.148370,309.190
1782401692.290839,310.020
1782401692.411395,308.140
1782401692.606286,308.270
1782401692.742892,308.980
1782401692.862963,308.700
1782401692.982614,308.420
1782401693.101956,307.750
1782401693.245477,309.280
1782401693.385139,309.070
1782401693.528598,309.090
1782401693.658010,308.770
1782401693.800760,308.520
1782401693.919308,308.640
1782401694.037713,308.520
1782401694.205917,307.010
1782401694.324120,305.030
1782401694.461836,305.800
1782401694.601950,305.960
1782401694.746728,305.840
1782401694.901910,305.340
1782401695.021862,305.140
1782401695.141993,306.030
1782401695.263649,307.080
1782401695.382514,307.310
1782401695.519962,307.520
1782401695.657703,307.590
1782401695.826372,307.890
1782401695.957877,308.590
1782401696.095690,307.790
1782401696.243397,307.520
1782401696.362519,308.520
1782401696.497245,309.200
1782401696.622529,308.960
1782401696.765387,308.800
1782401696.908424,309.380
1782401697.067259,309.840
1782401697.209452,311.240
1782401697.332050,311.270
1782401697.450598,309.680
1782401697.589219,309.350
1782401697.734604,310.340
1782401697.906345,309.870
1782401698.069160,309.660
1782401698.187557,310.030
1782401698.351645,309.050
1782401698.471322,309.730
1782401698.610073,307.840
1782401698.775077,307.730
1782401698.896469,307.990
1782401699.061412,307.590
1782401699.197649,307.220
1782401699.316273,305.540
1782401699.474982,306.120
1782401699.613622,307.090
1782401699.777658,306.980
1782401699.921633,305.780
1782401700.082960,306.190
1782401700.215353,307.290
1782401700.356797,307.290
1782401700.475388,307.720
1782401700.595166,307.060
1782401700.729637,308.400
1782401700.869555,309.780
1782401700.991637,310.370
1782401701.149674,310.310
1782401701.296980,311.190
1782401701.454495,311.260
1782401701.617135,311.900
1782401701.735361,311.600
1782401701.853661,311.990
1782401702.013254,311.680
1782401702.146316,311.890
1782401702.295005,311.590
1782401702.453507,310.550
1782401702.591005,310.720
1782401702.734598,311.530
1782401702.853667,311.590
1782401702.991169,310.890
1782401703.109979,310.380
1782401703.250733,311.010
1782401703.426086,311.530
1782401703.561850,312.050
1782401703.684180,311.900
1782401703.802989,311.650
1782401703.922111,312.080
1782401704.040336,312.540
1782401704.181279,313.220
1782401704.352264,312.850
1782401704.483764,313.380
1782401704.602975,313.100
1782401704.721969,313.050
1782401704.840177,311.470
1782401705.005204,311.050
1782401705.124728,310.430
1782401705.313126,310.190
1782401705.434335,310.340
1782401705.586305,309.690
1782401705.733303,310.080
1782401705.853881,310.350
1782401706.021127,311.450
1782401706.162218,311.420
1782401706.328090,311.410
1782401706.466135,312.250
1782401706.641373,312.830
1782401706.779226,313.040
1782401706.948678,311.940
1782401707.068846,312.550
1782401707.232753,313.120
1782401707.353630,311.980
1782401707.519296,311.300
1782401707.661586,309.900
1782401707.809008,309.140
1782401707.972036,308.860
1782401708.093497,305.540
1782401708.253748,306.210
1782401708.413831,306.980
1782401708.584272,307.180
1782401708.761969,307.340
1782401708.930197,308.830
1782401709.089154,310.360
1782401709.228185,311.730
1782401709.391944,311.330
1782401709.542513,313.680
1782401709.685503,314.590
1782401709.845355,314.650
1782401710.012043,313.450
1782401710.156925,314.190
1782401710.278679,314.570
1782401710.399596,314.410
1782401710.568345,314.440
1782401710.710738,311.640
1782401710.870164,312.350
1782401711.011338,313.250
1782401711.130974,313.530
1782401711.267294,311.410
1782401711.411483,311.060
1782401711.530720,312.120
1782401711.705569,312.720
1782401711.880165,312.320
1782401712.042681,313.150
1782401712.208137,313.070
1782401712.329209,313.820
1782401712.475844,313.430
1782401712.618519,312.670
1782401712.767931,313.160
1782401712.912034,313.740
1782401713.041059,311.880
1782401713.183152,311.070
1782401713.305128,310.470
1782401713.426682,310.690
1782401713.567628,310.540
1782401713.688577,310.230
1782401713.826043,309.980
1782401713.950019,308.850
1782401714.134984,308.980
1782401714.255842,309.210
1782401714.376080,309.030
1782401714.500048,308.340
1782401714.621580,309.750
1782401714.762532,309.250
1782401714.925098,308.940
1782401715.066059,308.940
1782401715.205550,309.310
1782401715.347627,312.170
1782401715.466238,311.810
1782401715.606469,311.770
1782401715.727374,311.140
1782401715.846950,310.830
1782401716.008298,310.730
1782401716.131657,310.230
1782401716.251828,308.250
1782401716.393902,308.110
1782401716.557815,308.950
1782401716.698187,309.420
1782401716.819361,309.490
1782401716.950428,309.320
1782401717.111305,310.250
1782401717.279832,310.490
1782401717.401154,310.320
1782401717.520952,310.020
1782401717.640965,310.050
1782401717.783536,311.770
1782401717.928025,313.150
1782401718.097925,312.700
