timestamp_s,power_w
1782401763.865295,314.800
1782401764.018108,316.170
1782401764.179726,315.480
1782401764.338181,316.550
1782401764.508110,316.830
1782401764.675277,316.370
1782401764.814394,316.480
1782401764.935115,317.750
1782401765.059673,317.310
1782401765.180343,316.770
1782401765.299754,318.590
1782401765.418779,314.990
1782401765.560762,316.800
1782401765.706403,319.020
1782401765.869175,317.410
1782401766.011446,317.240
1782401766.133483,318.750
1782401766.252967,317.140
1782401766.397109,317.310
1782401766.547876,320.090
1782401766.668899,316.680
1782401766.792744,316.700
1782401766.914668,318.530
1782401767.035107,318.450
1782401767.157812,318.460
1782401767.279027,319.540
1782401767.399094,316.940
1782401767.563280,316.670
1782401767.704984,318.550
1782401767.868866,318.380
1782401767.991895,317.750
1782401768.113131,318.840
1782401768.234682,318.510
1782401768.353170,317.720
1782401768.474436,318.480
1782401768.621979,318.630
1782401768.741841,317.890
1782401768.906462,319.000
1782401769.025848,316.240
1782401769.187954,317.450
1782401769.331560,318.490
1782401769.450655,317.680
1782401769.569591,318.630
1782401769.743127,318.600
1782401769.877357,318.540
1782401769.999060,319.140
1782401770.140177,319.880
1782401770.278390,319.920
1782401770.420379,320.650
1782401770.584166,318.660
1782401770.760233,318.420
1782401770.904612,320.810
1782401771.031892,319.000
1782401771.173883,319.000
1782401771.295605,321.080
1782401771.421573,319.820
1782401771.578438,318.930
1782401771.716539,320.710
1782401771.879040,319.510
1782401772.020779,320.720
1782401772.139583,321.950
1782401772.302953,319.730
1782401772.427545,320.540
1782401772.546609,320.840
1782401772.666214,318.560
1782401772.808931,320.920
1782401772.951037,321.380
1782401773.112290,318.960
1782401773.231656,319.700
1782401773.351371,320.650
1782401773.473812,318.830
1782401773.615587,320.860
1782401773.757406,321.550
1782401773.905726,321.500
1782401774.028628,321.250
1782401774.198098,321.510
1782401774.318430,320.300
1782401774.450963,320.850
1782401774.571944,321.350
1782401774.734833,320.680
1782401774.857170,320.950
1782401775.006859,320.100
1782401775.144179,318.390
1782401775.284743,320.160
1782401775.404789,319.670
1782401775.568179,319.640
1782401775.731440,320.350
1782401775.850590,317.660
1782401775.970131,318.770
1782401776.110800,320.550
1782401776.230044,319.790
1782401776.395315,320.370
1782401776.515257,320.340
1782401776.658385,318.990
1782401776.780249,319.200
1782401776.922194,321.180
1782401777.041381,320.180
1782401777.185383,319.150
1782401777.328109,321.620
1782401777.446940,318.060
1782401777.566241,318.510
1782401777.686952,322.060
1782401777.831838,319.940
1782401777.952107,319.840
1782401778.098022,321.650
1782401778.234144,320.520
1782401778.373364,319.240
1782401778.493739,321.710
1782401778.635919,321.800
1782401778.755688,320.570
1782401778.878291,321.490
1782401778.997861,322.050
1782401779.116814,321.140
1782401779.263510,322.860
1782401779.384086,322.180
1782401779.531307,321.780
1782401779.670976,322.150
1782401779.807850,320.670
1782401779.953006,321.610
1782401780.116732,320.880
1782401780.306557,320.140
1782401780.429405,322.140
1782401780.588484,322.260
1782401780.709573,320.860
1782401780.852856,321.960
1782401780.977845,321.870
1782401781.121240,321.020
1782401781.240270,323.270
1782401781.368752,323.180
1782401781.488461,320.980
1782401781.650445,322.090
1782401781.769371,321.890
1782401781.889306,321.170
1782401782.056643,321.740
1782401782.176911,322.320
1782401782.298488,320.260
1782401782.463023,321.400
1782401782.581981,322.990
1782401782.724499,322.720
1782401782.843620,323.530
1782401782.963090,324.140
1782401783.102598,323.600
1782401783.223825,322.820
1782401783.345788,323.880
1782401783.490491,322.330
1782401783.627756,322.600
1782401783.768190,322.590
1782401783.932264,320.880
1782401784.054676,321.350
1782401784.199231,320.830
1782401784.320732,321.500
1782401784.441382,322.280
1782401784.596256,320.450
1782401784.763825,319.360
1782401784.907199,322.210
1782401785.030301,320.330
1782401785.172405,320.540
1782401785.296766,321.550
1782401785.416646,322.020
1782401785.547025,319.710
1782401785.689777,321.560
1782401785.810168,322.110
1782401785.929138,320.370
1782401786.067019,321.890
1782401786.231548,321.740
1782401786.358141,320.610
1782401786.479093,321.560
1782401786.636037,323.320
1782401786.776022,321.340
1782401786.897244,322.990
1782401787.018140,322.690
1782401787.159335,322.480
1782401787.278826,323.600
1782401787.404076,323.210
1782401787.524801,322.200
1782401787.660432,322.320
1782401787.807570,321.800
1782401787.928818,322.080
1782401788.048948,322.870
1782401788.169049,322.590
1782401788.289926,322.230
1782401788.415212,322.320
1782401788.579153,322.320
1782401788.745570,321.500
1782401788.882581,323.390
1782401789.002633,320.770
1782401789.168503,321.310
1782401789.313321,323.760
1782401789.484267,323.330
1782401789.606033,323.880
1782401789.768031,325.680
1782401789.920733,324.830
1782401790.064644,326.920
1782401790.204899,326.290
1782401790.324944,325.710
1782401790.449428,325.210
1782401790.569072,325.710
1782401790.689934,325.800
1782401790.821880,324.770
1782401790.980733,324.530
1782401791.124082,325.040
1782401791.287090,325.860
1782401791.426328,326.290
1782401791.572180,325.370
1782401791.716178,327.020
1782401791.837877,326.050
1782401792.005906,325.950
1782401792.147690,327.450
1782401792.288275,325.200
1782401792.409221,327.050
1782401792.556544,326.860
1782401792.678652,326.220
1782401792.821433,326.220
1782401792.956389,326.860
1782401793.138732,325.670
1782401793.260036,327.630
1782401793.378949,328.670
1782401793.500313,328.250
1782401793.642374,328.240
1782401793.806316,328.310
1782401793.927422,326.460
1782401794.050381,328.140
1782401794.193758,327.920
1782401794.329203,326.330
1782401794.470639,326.500
1782401794.591915,326.270
1782401794.711522,326.270
1782401794.834831,326.090
1782401794.954309,325.080
1782401795.115198,325.810
1782401795.254999,326.300
1782401795.416496,313.750
