timestamp_s,power_w
1782401597.999848,141.780
1782401598.125661,191.030
1782401598.273006,211.630
1782401598.396204,221.110
1782401598.516482,253.240
1782401598.637639,294.820
1782401598.811401,296.700
1782401598.932582,316.900
1782401599.054462,316.870
1782401599.179737,317.550
1782401599.299847,317.210
1782401599.438328,317.310
1782401599.579869,317.580
1782401599.709347,317.440
1782401599.863353,318.050
1782401600.032115,317.780
1782401600.176419,317.610
1782401600.301564,317.820
1782401600.442914,317.500
1782401600.564888,318.020
1782401600.731415,318.350
1782401600.908177,318.230
1782401601.030108,318.960
1782401601.196121,319.470
1782401601.318486,319.480
1782401601.437557,319.960
1782401601.579701,319.590
1782401601.700186,319.490
1782401601.863148,319.540
1782401602.013080,319.870
1782401602.132177,319.720
1782401602.251612,319.140
1782401602.402507,319.300
