# gpu         pid  type    sm    mem    enc    dec    command
# Idx           #   C/G     %      %      %      %    name
    0     576406     C    84    57     -     -   python         
    0    3053833     C     -     -     -     -   python         
    1     576408     C    87    59     -     -   python         
    2     576409     C    86    59     -     -   python         
    3    3037147     C    22     0     -     -   python         
    3    3047220     C    77     1     -     -   python         
    4          -     -     -     -     -     -   -              
    5    3037151     C    99     0     -     -   python         
    6    3037153     C    99     0     -     -   python         
    7          -     -     -     -     -     -   -              
