candidate_id,config_id,label,latency_status,energy_status,ap_status,claim_status,next_action,reason,run_id
coverage:pyramid_lidar:w24x128x256:fp16,coverage:pyramid_lidar:w24x128x256:fp16,s0_024,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w40x128x256:fp16,coverage:pyramid_lidar:w40x128x256:fp16,s0_040,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w56x128x256:fp16,coverage:pyramid_lidar:w56x128x256:fp16,s0_056,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w64x48x256:fp16,coverage:pyramid_lidar:w64x48x256:fp16,s1_048,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w64x64x256:fp16,coverage:pyramid_lidar:w64x64x256:fp16,s1_064,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w64x80x256:fp16,coverage:pyramid_lidar:w64x80x256:fp16,s1_080,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w64x112x256:fp16,coverage:pyramid_lidar:w64x112x256:fp16,s1_112,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w64x128x96:fp16,coverage:pyramid_lidar:w64x128x96:fp16,s2_096,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w64x128x160:fp16,coverage:pyramid_lidar:w64x128x160:fp16,s2_160,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w64x128x224:fp16,coverage:pyramid_lidar:w64x128x224:fp16,s2_224,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
coverage:pyramid_lidar:w24x64x160:fp16,coverage:pyramid_lidar:w24x64x160:fp16,lhc_01,required,required,blocked,no_claim,wait_for_artifact_ready,artifact_status=missing,ap_coverage_pipeline_v1
