metric,value,detail
raw_row_count,1318,all LUT rows read
unique_config_count,113,axis-independent configs
unique_latency_cells,70,measured latency cells
unique_energy_cells,21,measured energy cells
unique_ap_cells,22,measured AP cells
repeat_rows,1205,extra measured rows beyond unique cells
repeat_ratio,0.914264,repeat-heavy
blocked_job_count,0,latest state only
blocked_config_count,60,quarantine or missing artifact
missing_artifact_config_count,60,artifact gap
quarantined_config_count,0,active quarantine
quarantine_growth,0,current minus previous active configs
latency_ready_jobs,0,low-water gate
energy_ready_jobs,0,queue ready
ap_ready_jobs,0,queue ready
recommendation_count,4,supervisor actions
top_missing_axes_count,3,axis gap groups
