candidate_id,label,width,artifact_status,latency_status,energy_status,ap_status,next_action,gap_reason,tag
coverage:pyramid_lidar:w24x128x256:fp16,s0_024,"[24,128,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x128x256:fp16,s0_040,"[40,128,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w56x128x256:fp16,s0_056,"[56,128,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x48x256:fp16,s1_048,"[64,48,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x64x256:fp16,s1_064,"[64,64,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x80x256:fp16,s1_080,"[64,80,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x112x256:fp16,s1_112,"[64,112,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x128x96:fp16,s2_096,"[64,128,96]",ready,missing,missing,not_evaluated_by_energy_generator,wait_for_latency_or_priority_selection,latency_not_measured_and_not_priority_selected,original60
coverage:pyramid_lidar:w64x128x160:fp16,s2_160,"[64,128,160]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x128x224:fp16,s2_224,"[64,128,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w24x64x160:fp16,lhc_01,"[24,64,160]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w32x96x256:fp16,lhc_02,"[32,96,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x128x128:fp16,lhc_03,"[40,128,128]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x48x224:fp16,lhc_04,"[48,48,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w56x80x96:fp16,lhc_05,"[56,80,96]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x112x192:fp16,lhc_06,"[64,112,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w24x48x128:fp16,lhc_07,"[24,48,128]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w32x80x224:fp16,lhc_08,"[32,80,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x112x96:fp16,lhc_09,"[40,112,96]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x32x192:fp16,lhc_10,"[48,32,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w56x64x64:fp16,lhc_11,"[56,64,64]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x96x160:fp16,lhc_12,"[64,96,160]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w32x64x192:fp16,lhc_14,"[32,64,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x96x64:fp16,lhc_15,"[40,96,64]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x128x160:fp16,lhc_16,"[48,128,160]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w56x48x256:fp16,lhc_17,"[56,48,256]",ready,missing,missing,not_evaluated_by_energy_generator,wait_for_latency_or_priority_selection,latency_not_measured_and_not_priority_selected,original60
coverage:pyramid_lidar:w64x80x128:fp16,lhc_18,"[64,80,128]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w16x112x224:fp16,lhc_19,"[16,112,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w24x32x96:fp16,lhc_20,"[24,32,96]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x80x256:fp16,lhc_21,"[40,80,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x112x128:fp16,lhc_22,"[48,112,128]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w56x32x224:fp16,lhc_23,"[56,32,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x64x96:fp16,lhc_24,"[64,64,96]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w16x96x192:fp16,lhc_25,"[16,96,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w24x128x64:fp16,lhc_26,"[24,128,64]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w24x64x128:fp16,frontier_01,"[24,64,128]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x64x128:fp16,frontier_02,"[40,64,128]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w32x48x128:fp16,frontier_03,"[32,48,128]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w32x80x128:fp16,frontier_04,"[32,80,128]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w32x64x96:fp16,frontier_05,"[32,64,96]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w32x64x160:fp16,frontier_06,"[32,64,160]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w24x48x96:fp16,frontier_07,"[24,48,96]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x80x160:fp16,frontier_08,"[40,80,160]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w24x32x64:fp16,frontier_10,"[24,32,64]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w16x48x64:fp16,frontier_11,"[16,48,64]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w16x32x96:fp16,frontier_12,"[16,32,96]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x96x192:fp16,frontier_14,"[40,96,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w56x96x192:fp16,frontier_15,"[56,96,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x80x192:fp16,frontier_16,"[48,80,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x112x192:fp16,frontier_17,"[48,112,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x96x160:fp16,frontier_18,"[48,96,160]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x96x224:fp16,frontier_19,"[48,96,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w56x112x224:fp16,frontier_20,"[56,112,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x80x192:fp16,frontier_22,"[64,80,192]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x96x224:fp16,frontier_25,"[64,96,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w56x80x160:fp16,frontier_26,"[56,80,160]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w64x112x224:fp16,frontier_27,"[64,112,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x112x256:fp16,frontier_31,"[48,112,256]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w48x128x224:fp16,frontier_32,"[48,128,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
coverage:pyramid_lidar:w40x112x224:fp16,frontier_33,"[40,112,224]",ready,measured,queued,not_evaluated_by_energy_generator,queue_energy,latency_succeeded,original60
