label,candidate_id,width,latency_default_ms,latency_tuned_ms,latency_speedup_default_over_tuned,energy_j_per_inference,ap30,ap50,ap70,latency_status,energy_status,ap_status,ap_source_kind,ap_quality_gate_status,ap_next_action,latency_default_run_id,latency_tuned_run_id,energy_run_id,ap_source_path
s0_024,coverage:pyramid_lidar:w24x128x256:fp16,24x128x256,39.499614,39.503066,0.999913,4.954709,0.833141389,0.791044145,0.632495206,measured,measured,claimable_true_eval,true_eval,trend_anomaly_pending_repeat,ap_row_available_from_phase_c_finetune,original60_measured_v1_original60_s0_024_gpu0_default,original60_measured_v1_original60_s0_024_gpu0_metaschedule_tuned,original60_energy_v1:0000:coverage-pyramid_lidar-w24x128x256-fp16:gpu0,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/ap_stability_20260626/raw/s0_024/ap_eval_report.json;/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/ap_stability_20260626/raw/s0_024/best_ckpt_manifest.json
s0_040,coverage:pyramid_lidar:w40x128x256:fp16,40x128x256,44.68875,44.704673,0.999644,4.794238,0.822728829,0.78124512,0.626659483,measured,measured,claimable_true_eval,true_eval,first_seed_true_eval_pending_repeat,ap_row_available_from_phase_c_finetune,original60_measured_v1_original60_s0_040_gpu1_default,original60_measured_v1_original60_s0_040_gpu1_metaschedule_tuned,original60_energy_v1:0001:coverage-pyramid_lidar-w40x128x256-fp16:gpu1,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/ap_stability_20260626/raw/s0_040/ap_eval_report.json;/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/ap_stability_20260626/raw/s0_040/best_ckpt_manifest.json
s0_056,coverage:pyramid_lidar:w56x128x256:fp16,56x128x256,51.351367,51.342031,1.000182,6.196241,0.832072361,0.790658722,0.623711042,measured,measured,claimable_true_eval,true_eval,first_seed_true_eval_pending_repeat,ap_row_available_from_phase_c_finetune,original60_measured_v1_original60_s0_056_gpu4_default,original60_measured_v1_original60_s0_056_gpu4_metaschedule_tuned,original60_energy_v1:0002:coverage-pyramid_lidar-w56x128x256-fp16:gpu2,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/ap_stability_20260626/raw/s0_056/ap_eval_report.json;/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/ap_stability_20260626/raw/s0_056/best_ckpt_manifest.json
s1_048,coverage:pyramid_lidar:w64x48x256:fp16,64x48x256,44.294917,44.452754,0.996449,5.499634,0.822220053,0.782852439,0.635616211,measured,measured,claimable_true_eval,true_eval,trend_anomaly_pending_repeat,ap_row_available_from_phase_c_finetune,original60_measured_v1_original60_s1_048_gpu5_default,original60_measured_v1_original60_s1_048_gpu5_metaschedule_tuned,original60_energy_v1:0003:coverage-pyramid_lidar-w64x48x256-fp16:gpu3,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/ap_stability_20260626/raw/s1_048/ap_eval_report.json;/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/ap_stability_20260626/raw/s1_048/best_ckpt_manifest.json
s1_064,coverage:pyramid_lidar:w64x64x256:fp16,64x64x256,46.437119,46.633232,0.995795,4.817434,,,0.636159742,measured,measured,claimable_weight_identity_transfer,weight_identity_transfer,,can_claim_transfer_after_identity_gate,original60_measured_v1_original60_s1_064_gpu0_default,original60_measured_v1_original60_s1_064_gpu0_metaschedule_tuned,original60_energy_v1:0004:coverage-pyramid_lidar-w64x64x256-fp16:gpu4,results/ap70_depgraph_expansion.json
s1_080,coverage:pyramid_lidar:w64x80x256:fp16,64x80x256,49.117573,49.101309,1.000331,6.602432,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_s1_080_gpu1_default,original60_measured_v1_original60_s1_080_gpu1_metaschedule_tuned,original60_energy_v1:0005:coverage-pyramid_lidar-w64x80x256-fp16:gpu5,
s1_112,coverage:pyramid_lidar:w64x112x256:fp16,64x112x256,54.167803,54.163374,1.000082,8.87171,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_s1_112_gpu4_default,original60_measured_v1_original60_s1_112_gpu4_metaschedule_tuned,original60_energy_v1:0006:coverage-pyramid_lidar-w64x112x256-fp16:gpu0,
s2_096,coverage:pyramid_lidar:w64x128x96:fp16,64x128x96,,,,,,,,quarantine_cuda_illegal_memory_access,not_run_latency_quarantine,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,,,,
s2_160,coverage:pyramid_lidar:w64x128x160:fp16,64x128x160,49.694395,49.77666,0.998347,4.162604,,,,measured,measured,no_claim_missing_source,no_claim,export_or_eval_quarantined,inspect_export_sanity_or_retrain_before_claim,original60_measured_v1_original60_s2_160_gpu0_default,original60_measured_v1_original60_s2_160_gpu0_metaschedule_tuned,original60_energy_v1:0007:coverage-pyramid_lidar-w64x128x160-fp16:gpu1,
s2_224,coverage:pyramid_lidar:w64x128x224:fp16,64x128x224,54.299932,54.443613,0.997361,6.093609,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_s2_224_gpu1_default,original60_measured_v1_original60_s2_224_gpu1_metaschedule_tuned,original60_energy_v1:0008:coverage-pyramid_lidar-w64x128x224-fp16:gpu2,
lhc_01,coverage:pyramid_lidar:w24x64x160:fp16,24x64x160,23.328262,23.326084,1.000093,3.032124,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_01_gpu4_default,original60_measured_v1_original60_lhc_01_gpu4_metaschedule_tuned,original60_energy_v1:0009:coverage-pyramid_lidar-w24x64x160-fp16:gpu3,
lhc_02,coverage:pyramid_lidar:w32x96x256:fp16,32x96x256,39.970571,40.107417,0.996588,1.774235,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_02_gpu5_default,original60_measured_v1_original60_lhc_02_gpu5_metaschedule_tuned,original60_energy_v1:0010:coverage-pyramid_lidar-w32x96x256-fp16:gpu4,
lhc_03,coverage:pyramid_lidar:w40x128x128:fp16,40x128x128,36.040906,36.060876,0.999446,3.737698,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_03_gpu0_default,original60_measured_v1_original60_lhc_03_gpu0_metaschedule_tuned,original60_energy_v1:0011:coverage-pyramid_lidar-w40x128x128-fp16:gpu5,
lhc_04,coverage:pyramid_lidar:w48x48x224:fp16,48x48x224,37.45573,37.52106,0.998259,3.944334,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_04_gpu1_default,original60_measured_v1_original60_lhc_04_gpu1_metaschedule_tuned,original60_energy_v1:0012:coverage-pyramid_lidar-w48x48x224-fp16:gpu0,
lhc_05,coverage:pyramid_lidar:w56x80x96:fp16,56x80x96,33.733826,29.18115,1.156014,1.256554,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_05_gpu4_default,original60_measured_v1_original60_lhc_05_gpu4_metaschedule_tuned,original60_energy_v1:0013:coverage-pyramid_lidar-w56x80x96-fp16:gpu1,
lhc_06,coverage:pyramid_lidar:w64x112x192:fp16,64x112x192,49.889971,49.811182,1.001582,6.56558,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_06_gpu5_default,original60_measured_v1_original60_lhc_06_gpu5_metaschedule_tuned,original60_energy_v1:0014:coverage-pyramid_lidar-w64x112x192-fp16:gpu2,
lhc_07,coverage:pyramid_lidar:w24x48x128:fp16,24x48x128,18.967836,12.952994,1.464359,0,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_07_gpu0_default,original60_measured_v1_original60_lhc_07_gpu0_metaschedule_tuned,original60_energy_v1:0015:coverage-pyramid_lidar-w24x48x128-fp16:gpu3,
lhc_08,coverage:pyramid_lidar:w32x80x224:fp16,32x80x224,35.734133,24.642524,1.4501,0.675306,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_08_gpu1_default,original60_measured_v1_original60_lhc_08_gpu1_metaschedule_tuned,original60_energy_v1:0016:coverage-pyramid_lidar-w32x80x224-fp16:gpu4,
lhc_09,coverage:pyramid_lidar:w40x112x96:fp16,40x112x96,32.096267,32.322161,0.993011,3.121599,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_09_gpu4_default,original60_measured_v1_original60_lhc_09_gpu4_metaschedule_tuned,original60_energy_v1:0017:coverage-pyramid_lidar-w40x112x96-fp16:gpu5,
lhc_10,coverage:pyramid_lidar:w48x32x192:fp16,48x32x192,32.649292,32.633389,1.000487,5.052279,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_10_gpu5_default,original60_measured_v1_original60_lhc_10_gpu5_metaschedule_tuned,original60_energy_v1:0018:coverage-pyramid_lidar-w48x32x192-fp16:gpu0,
lhc_11,coverage:pyramid_lidar:w56x64x64:fp16,56x64x64,29.004858,26.037461,1.113966,1.215893,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_11_gpu0_default,original60_measured_v1_original60_lhc_11_gpu0_metaschedule_tuned,original60_energy_v1:0019:coverage-pyramid_lidar-w56x64x64-fp16:gpu1,
lhc_12,coverage:pyramid_lidar:w64x96x160:fp16,64x96x160,45.009268,37.253828,1.208178,3.728277,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_12_gpu1_default,original60_measured_v1_original60_lhc_12_gpu1_metaschedule_tuned,original60_energy_v1:0020:coverage-pyramid_lidar-w64x96x160-fp16:gpu2,
lhc_14,coverage:pyramid_lidar:w32x64x192:fp16,32x64x192,30.742437,30.822122,0.997415,2.499408,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_14_gpu4_default,original60_measured_v1_original60_lhc_14_gpu4_metaschedule_tuned,original60_energy_v1:0021:coverage-pyramid_lidar-w32x64x192-fp16:gpu3,
lhc_15,coverage:pyramid_lidar:w40x96x64:fp16,40x96x64,27.478977,24.559172,1.118889,0.463489,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_15_gpu5_default,original60_measured_v1_original60_lhc_15_gpu5_metaschedule_tuned,original60_energy_v1:0022:coverage-pyramid_lidar-w40x96x64-fp16:gpu4,
lhc_16,coverage:pyramid_lidar:w48x128x160:fp16,48x128x160,44.690923,44.692739,0.999959,5.514316,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_16_gpu0_default,original60_measured_v1_original60_lhc_16_gpu0_metaschedule_tuned,original60_energy_v1:0023:coverage-pyramid_lidar-w48x128x160-fp16:gpu5,
lhc_17,coverage:pyramid_lidar:w56x48x256:fp16,56x48x256,,,,,,,,quarantine_cuda_illegal_memory_access,not_run_latency_quarantine,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,,,,
lhc_18,coverage:pyramid_lidar:w64x80x128:fp16,64x80x128,40.416882,34.418411,1.174281,3.050631,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_18_gpu4_default,original60_measured_v1_original60_lhc_18_gpu4_metaschedule_tuned,original60_energy_v1:0024:coverage-pyramid_lidar-w64x80x128-fp16:gpu0,
lhc_19,coverage:pyramid_lidar:w16x112x224:fp16,16x112x224,35.494946,35.515078,0.999433,2.897031,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_19_gpu5_default,original60_measured_v1_original60_lhc_19_gpu5_metaschedule_tuned,original60_energy_v1:0025:coverage-pyramid_lidar-w16x112x224-fp16:gpu1,
lhc_20,coverage:pyramid_lidar:w24x32x96:fp16,24x32x96,14.708424,10.127507,1.452324,0.362166,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_20_gpu0_default,original60_measured_v1_original60_lhc_20_gpu0_metaschedule_tuned,original60_energy_v1:0026:coverage-pyramid_lidar-w24x32x96-fp16:gpu2,
lhc_21,coverage:pyramid_lidar:w40x80x256:fp16,40x80x256,37.664858,37.757703,0.997541,5.096023,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_21_gpu4_default,original60_measured_v1_original60_lhc_21_gpu4_metaschedule_tuned,original60_energy_v1:0027:coverage-pyramid_lidar-w40x80x256-fp16:gpu3,
lhc_22,coverage:pyramid_lidar:w48x112x128:fp16,48x112x128,40.436836,40.453059,0.999599,4.407295,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_22_gpu0_default,original60_measured_v1_original60_lhc_22_gpu0_metaschedule_tuned,original60_energy_v1:0028:coverage-pyramid_lidar-w48x112x128-fp16:gpu4,
lhc_23,coverage:pyramid_lidar:w56x32x224:fp16,56x32x224,35.098279,31.911555,1.099861,2.416399,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_23_gpu4_default,original60_measured_v1_original60_lhc_23_gpu4_metaschedule_tuned,original60_energy_v1:0029:coverage-pyramid_lidar-w56x32x224-fp16:gpu5,
lhc_24,coverage:pyramid_lidar:w64x64x96:fp16,64x64x96,35.879082,31.329392,1.145221,1.141954,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_24_gpu0_default,original60_measured_v1_original60_lhc_24_gpu0_metaschedule_tuned,original60_energy_v1:0030:coverage-pyramid_lidar-w64x64x96-fp16:gpu0,
lhc_25,coverage:pyramid_lidar:w16x96x192:fp16,16x96x192,30.605505,30.631062,0.999166,2.241105,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_25_gpu4_default,original60_measured_v1_original60_lhc_25_gpu4_metaschedule_tuned,original60_energy_v1:0031:coverage-pyramid_lidar-w16x96x192-fp16:gpu1,
lhc_26,coverage:pyramid_lidar:w24x128x64:fp16,24x128x64,26.912761,23.985935,1.122023,3.431983,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_lhc_26_gpu0_default,original60_measured_v1_original60_lhc_26_gpu0_metaschedule_tuned,original60_energy_retry1_v1:0000:coverage-pyramid_lidar-w24x128x64-fp16:gpu0,
frontier_01,coverage:pyramid_lidar:w24x64x128:fp16,24x64x128,21.064802,21.357256,0.986307,0.424771,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_01_gpu1_default,original60_measured_v1_original60_frontier_01_gpu1_metaschedule_tuned,original60_energy_v1:0033:coverage-pyramid_lidar-w24x64x128-fp16:gpu3,
frontier_02,coverage:pyramid_lidar:w40x64x128:fp16,40x64x128,26.229487,26.283811,0.997933,1.092068,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_02_gpu5_default,original60_measured_v1_original60_frontier_02_gpu5_metaschedule_tuned,original60_energy_v1:0034:coverage-pyramid_lidar-w40x64x128-fp16:gpu4,
frontier_03,coverage:pyramid_lidar:w32x48x128:fp16,32x48x128,24.120591,24.126619,0.99975,0.158221,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_03_gpu1_default,original60_measured_v1_original60_frontier_03_gpu1_metaschedule_tuned,original60_energy_v1:0035:coverage-pyramid_lidar-w32x48x128-fp16:gpu5,
frontier_04,coverage:pyramid_lidar:w32x80x128:fp16,32x80x128,28.898157,28.934253,0.998752,2.34175,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_04_gpu5_default,original60_measured_v1_original60_frontier_04_gpu5_metaschedule_tuned,original60_energy_v1:0036:coverage-pyramid_lidar-w32x80x128-fp16:gpu0,
frontier_05,coverage:pyramid_lidar:w32x64x96:fp16,32x64x96,24.351216,24.355515,0.999823,0.525717,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_05_gpu1_default,original60_measured_v1_original60_frontier_05_gpu1_metaschedule_tuned,original60_energy_v1:0037:coverage-pyramid_lidar-w32x64x96-fp16:gpu1,
frontier_06,coverage:pyramid_lidar:w32x64x160:fp16,32x64x160,28.426504,20.674619,1.374947,1.715429,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_06_gpu5_default,original60_measured_v1_original60_frontier_06_gpu5_metaschedule_tuned,original60_energy_retry1_v1:0001:coverage-pyramid_lidar-w32x64x160-fp16:gpu1,
frontier_07,coverage:pyramid_lidar:w24x48x96:fp16,24x48x96,17.12476,12.578511,1.36143,0,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_07_gpu1_default,original60_measured_v1_original60_frontier_07_gpu1_metaschedule_tuned,original60_energy_v1:0039:coverage-pyramid_lidar-w24x48x96-fp16:gpu3,
frontier_08,coverage:pyramid_lidar:w40x80x160:fp16,40x80x160,31.230066,23.459915,1.33121,0.045117,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_08_gpu4_default,original60_measured_v1_original60_frontier_08_gpu4_metaschedule_tuned,original60_energy_v1:0040:coverage-pyramid_lidar-w40x80x160-fp16:gpu4,
frontier_10,coverage:pyramid_lidar:w24x32x64:fp16,24x32x64,12.692048,9.826991,1.29155,0,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_10_gpu5_default,original60_measured_v1_original60_frontier_10_gpu5_metaschedule_tuned,original60_energy_v1:0041:coverage-pyramid_lidar-w24x32x64-fp16:gpu5,
frontier_11,coverage:pyramid_lidar:w16x48x64:fp16,16x48x64,15.089955,15.16151,0.99528,0,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_11_gpu0_default,original60_measured_v1_original60_frontier_11_gpu0_metaschedule_tuned,original60_energy_v1:0042:coverage-pyramid_lidar-w16x48x64-fp16:gpu0,
frontier_12,coverage:pyramid_lidar:w16x32x96:fp16,16x32x96,14.683405,10.106415,1.45288,0.45561,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_12_gpu1_default,original60_measured_v1_original60_frontier_12_gpu1_metaschedule_tuned,original60_energy_v1:0043:coverage-pyramid_lidar-w16x32x96-fp16:gpu1,
frontier_14,coverage:pyramid_lidar:w40x96x192:fp16,40x96x192,35.860403,35.994951,0.996262,3.356181,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_14_gpu4_default,original60_measured_v1_original60_frontier_14_gpu4_metaschedule_tuned,original60_energy_retry1_v1:0002:coverage-pyramid_lidar-w40x96x192-fp16:gpu2,
frontier_15,coverage:pyramid_lidar:w56x96x192:fp16,56x96x192,42.413501,42.422632,0.999785,5.13018,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_15_gpu5_default,original60_measured_v1_original60_frontier_15_gpu5_metaschedule_tuned,original60_energy_v1:0045:coverage-pyramid_lidar-w56x96x192-fp16:gpu3,
frontier_16,coverage:pyramid_lidar:w48x80x192:fp16,48x80x192,39.963096,40.24512,0.992992,2.946921,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_16_gpu0_default,original60_measured_v1_original60_frontier_16_gpu0_metaschedule_tuned,original60_energy_v1:0046:coverage-pyramid_lidar-w48x80x192-fp16:gpu4,
frontier_17,coverage:pyramid_lidar:w48x112x192:fp16,48x112x192,44.971597,47.607866,0.944625,4.929561,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_17_gpu1_default,original60_measured_v1_original60_frontier_17_gpu1_metaschedule_tuned,original60_energy_v1:0047:coverage-pyramid_lidar-w48x112x192-fp16:gpu5,
frontier_18,coverage:pyramid_lidar:w48x96x160:fp16,48x96x160,40.016536,40.024951,0.99979,5.132624,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_18_gpu4_default,original60_measured_v1_original60_frontier_18_gpu4_metaschedule_tuned,original60_energy_v1:0048:coverage-pyramid_lidar-w48x96x160-fp16:gpu0,
frontier_19,coverage:pyramid_lidar:w48x96x224:fp16,48x96x224,44.586284,44.635464,0.998898,5.90908,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_19_gpu5_default,original60_measured_v1_original60_frontier_19_gpu5_metaschedule_tuned,original60_energy_v1:0049:coverage-pyramid_lidar-w48x96x224-fp16:gpu1,
frontier_20,coverage:pyramid_lidar:w56x112x224:fp16,56x112x224,47.398379,47.674604,0.994206,6.774405,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_20_gpu0_default,original60_measured_v1_original60_frontier_20_gpu0_metaschedule_tuned,original60_energy_retry1_v1:0003:coverage-pyramid_lidar-w56x112x224-fp16:gpu3,
frontier_22,coverage:pyramid_lidar:w64x80x192:fp16,64x80x192,44.915273,45.002417,0.998064,6.08687,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_22_gpu1_default,original60_measured_v1_original60_frontier_22_gpu1_metaschedule_tuned,original60_energy_v1:0051:coverage-pyramid_lidar-w64x80x192-fp16:gpu3,
frontier_25,coverage:pyramid_lidar:w64x96x224:fp16,64x96x224,49.619209,38.320701,1.294841,,,,,measured,quarantine_cuda_illegal_memory_access,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_retry2_v1_original60_retry2_frontier_25_gpu3_default,original60_measured_retry2_v1_original60_retry2_frontier_25_gpu3_metaschedule_tuned,,
frontier_26,coverage:pyramid_lidar:w56x80x160:fp16,56x80x160,37.777043,30.017478,1.258502,,,,,measured,quarantine_cuda_illegal_memory_access,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_26_gpu5_default,original60_measured_v1_original60_frontier_26_gpu5_metaschedule_tuned,,
frontier_27,coverage:pyramid_lidar:w64x112x224:fp16,64x112x224,52.25355,52.08062,1.00332,7.767189,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_27_gpu0_default,original60_measured_v1_original60_frontier_27_gpu0_metaschedule_tuned,original60_energy_v1:0054:coverage-pyramid_lidar-w64x112x224-fp16:gpu0,
frontier_31,coverage:pyramid_lidar:w48x112x256:fp16,48x112x256,49.187661,49.42186,0.995261,6.745455,,,,measured,measured,no_claim_missing_source,no_claim,,needs_finetune_or_true_eval,original60_measured_v1_original60_frontier_31_gpu1_default,original60_measured_v1_original60_frontier_31_gpu1_metaschedule_tuned,original60_energy_v1:0055:coverage-pyramid_lidar-w48x112x256-fp16:gpu1,
