timestamp_s,power_w
1782470767.540976,316.820
1782470767.699764,253.210
1782470767.926576,240.730
1782470768.081557,189.590
1782470768.249037,182.900
1782470768.414302,126.240
1782470768.615548,115.950
1782470768.788739,115.750
1782470768.977341,115.680
1782470769.195015,115.590
1782470769.421321,115.590
1782470769.620929,115.590
1782470769.831397,115.560
1782470770.085569,115.550
1782470770.241953,115.530
1782470770.429396,115.500
1782470770.679216,115.460
1782470770.847847,115.440
1782470771.050710,115.430
1782470771.266166,115.430
1782470771.443731,115.440
1782470771.681716,115.430
1782470771.846241,115.430
1782470772.013897,115.380
1782470772.224975,115.410
1782470772.444090,115.360
