timestamp_s,power_w
1782471015.337127,138.420
1782471015.561857,145.970
1782471015.787924,149.960
1782471016.062464,157.610
1782471016.278435,137.520
1782471016.436067,150.630
1782471016.659990,160.500
1782471016.841407,178.390
1782471017.036431,185.490
1782471017.230396,206.030
1782471017.429542,216.140
1782471017.653752,200.620
1782471017.935375,212.690
1782471018.179218,178.760
1782471018.392198,153.900
1782471018.607807,149.220
1782471018.836798,148.120
1782471019.059729,154.890
1782471019.252826,166.840
1782471019.403212,173.490
1782471019.627570,185.180
1782471019.855925,183.930
1782471020.044871,178.120
1782471020.333473,192.850
1782471020.565120,194.400
1782471020.772763,162.140
1782471021.001564,151.600
1782471021.155133,160.380
1782471021.371844,137.600
1782471021.589351,138.640
1782471021.832009,156.990
1782471022.039169,171.950
1782471022.212240,167.240
1782471022.393485,168.620
1782471022.586017,173.230
1782471022.768106,170.500
1782471022.925728,169.240
1782471023.139735,169.070
1782471023.345658,182.060
1782471023.580225,177.090
1782471023.730824,194.820
1782471023.943372,211.160
1782471024.075012,192.540
1782471024.255342,175.380
1782471024.497363,172.600
1782471024.723346,168.170
1782471024.897120,157.150
1782471025.103828,157.090
1782471025.323289,161.180
1782471025.520402,177.130
1782471025.695449,157.090
1782471025.929474,175.930
1782471026.121318,193.730
1782471026.363759,168.180
1782471026.600371,169.180
1782471026.803533,168.200
1782471027.034270,166.880
1782471027.200712,158.520
1782471027.373669,150.090
1782471027.650011,161.210
1782471027.846000,178.750
1782471028.033861,179.100
1782471028.238046,189.130
1782471028.450446,211.040
1782471028.649275,203.360
1782471028.812250,194.580
1782471029.041842,191.930
1782471029.249387,188.280
1782471029.503119,167.510
1782471029.762189,170.740
1782471029.982710,149.890
1782471030.219438,144.540
1782471030.433439,164.490
1782471030.658622,163.360
1782471030.891395,168.150
1782471031.092664,165.380
1782471031.341749,170.570
1782471031.550984,157.660
1782471031.783780,156.980
1782471032.028031,178.710
1782471032.286739,160.940
1782471032.505749,150.730
1782471032.731642,168.420
1782471032.891004,169.090
1782471033.076321,151.010
1782471033.335988,166.490
1782471033.541697,179.460
1782471033.727812,180.140
1782471033.924505,196.390
1782471034.128649,216.850
1782471034.334059,227.290
1782471034.526859,232.330
1782471034.752390,223.630
1782471034.919982,208.710
1782471035.099233,197.340
1782471035.285816,171.490
1782471035.547084,165.350
1782471035.771988,155.640
1782471035.927328,166.080
1782471036.131505,180.010
1782471036.303203,188.580
1782471036.515254,175.790
1782471036.717733,193.080
1782471036.881286,186.790
1782471037.069833,165.600
1782471037.261029,152.970
1782471037.473567,143.110
1782471037.687777,131.430
1782471037.967145,134.340
1782471038.172985,133.150
1782471038.371057,125.390
1782471038.611442,131.760
1782471038.840503,148.790
1782471039.049204,164.110
1782471039.279678,164.680
1782471039.443552,182.790
1782471039.664633,181.280
1782471039.855792,174.420
1782471040.071417,155.470
1782471040.257243,166.590
1782471040.447472,163.480
1782471040.679983,151.620
1782471040.915423,157.670
1782471041.212493,153.630
1782471041.445018,157.200
1782471041.667635,158.950
1782471041.874094,146.910
1782471042.103180,145.420
1782471042.366941,131.430
1782471042.532165,150.830
1782471042.728811,174.680
1782471042.958152,181.570
1782471043.252234,188.390
1782471043.491267,170.550
1782471043.727104,166.600
1782471043.959615,165.620
1782471044.196010,158.540
1782471044.449856,172.920
1782471044.654199,162.300
1782471044.826647,178.700
1782471045.007266,179.940
1782471045.233145,192.570
1782471045.436544,204.670
1782471045.641843,210.290
1782471045.858716,198.740
1782471046.047436,201.690
1782471046.311939,174.690
1782471046.534647,177.560
1782471046.820014,175.060
1782471047.049949,179.580
1782471047.264724,178.230
1782471047.499600,159.470
1782471047.687317,147.240
1782471047.936538,152.520
1782471048.117219,159.710
1782471048.283844,154.950
1782471048.501671,155.570
1782471048.719091,166.690
1782471048.923121,168.620
1782471049.141918,171.330
1782471049.375549,175.900
1782471049.547817,188.960
1782471049.723627,194.060
1782471049.905643,174.850
1782471050.159632,166.960
1782471050.340862,184.120
1782471050.595364,157.430
1782471050.843302,171.570
1782471051.043825,180.000
1782471051.274788,174.930
1782471051.482560,161.700
1782471051.654784,167.610
1782471051.820656,168.820
1782471051.987043,148.920
1782471052.190734,153.170
1782471052.356252,165.020
1782471052.565449,157.020
1782471052.748688,157.730
1782471052.921901,169.120
1782471053.121841,188.750
1782471053.285241,176.130
1782471053.469712,171.310
1782471053.654567,167.970
1782471053.847042,179.050
1782471054.039584,182.230
1782471054.232097,193.700
1782471054.430463,207.980
1782471054.601892,210.940
1782471054.764061,190.130
1782471055.027383,193.760
1782471055.205051,197.570
1782471055.345756,177.200
1782471055.545815,187.850
1782471055.774619,184.410
1782471056.006844,165.880
1782471056.156301,172.910
1782471056.303791,172.730
1782471056.477988,143.870
1782471056.665349,146.600
1782471056.838595,164.230
1782471057.073490,151.610
1782471057.295676,147.170
1782471057.525782,166.420
1782471057.763761,150.570
1782471058.025753,169.220
1782471058.213099,176.630
1782471058.452044,172.400
1782471058.664155,171.600
1782471058.859469,181.540
1782471058.992076,154.140
1782471059.308021,156.270
1782471059.539623,158.770
1782471059.712271,162.200
1782471059.927982,178.050
1782471060.098643,180.760
1782471060.283180,175.960
1782471060.436516,189.630
1782471060.634971,190.820
1782471060.839642,201.630
1782471061.035197,199.430
1782471061.222794,212.500
1782471061.417669,212.160
1782471061.592294,205.450
1782471061.758168,196.430
1782471061.931797,206.480
1782471062.082313,186.190
1782471062.270543,169.400
1782471062.461562,161.760
1782471062.648121,169.270
1782471062.870646,147.380
1782471063.065772,149.060
1782471063.224331,166.130
1782471063.401569,165.520
1782471063.565877,153.670
1782471063.787008,151.760
1782471064.005507,154.580
1782471064.212847,142.960
1782471064.419977,148.700
1782471064.587070,147.240
1782471064.760764,154.620
1782471065.045722,170.450
1782471065.265007,163.590
1782471065.446636,166.990
1782471065.612192,168.640
1782471065.840261,187.640
1782471066.011438,172.500
1782471066.197589,170.100
1782471066.392826,159.450
1782471066.604192,152.790
1782471066.828889,156.520
1782471067.052887,166.430
1782471067.263825,170.310
1782471067.439074,182.330
1782471067.804217,165.210
1782471067.963020,159.330
1782471068.209022,159.070
1782471068.379812,139.730
1782471068.566551,141.270
1782471068.710632,145.900
1782471068.884552,137.730
1782471069.092754,139.080
1782471069.216064,143.070
1782471069.392187,146.290
1782471069.562531,151.060
1782471069.727302,169.890
1782471069.865970,171.640
1782471069.982014,167.730
1782471070.096736,169.930
1782471070.209748,169.160
1782471070.323467,181.470
1782471070.461291,186.700
1782471070.600230,183.400
1782471070.760001,171.110
1782471070.878494,167.930
1782471071.013983,181.000
1782471071.132068,201.020
1782471071.244724,212.670
1782471071.357729,197.330
1782471071.485771,188.880
1782471071.814753,193.960
1782471072.133004,199.430
1782471072.248292,178.310
1782471072.414711,181.500
1782471072.557034,185.660
1782471072.685963,186.580
1782471072.819995,197.180
1782471072.972302,197.680
1782471073.144781,176.340
1782471073.312363,183.860
1782471073.476005,163.710
1782471073.633956,180.230
1782471073.747440,188.760
1782471073.923580,199.130
1782471074.076642,188.860
1782471074.187475,183.810
1782471074.299766,186.530
1782471074.430828,200.690
1782471074.543258,216.820
1782471074.703780,184.630
1782471074.919079,180.530
1782471075.128537,208.350
1782471075.293300,207.180
1782471075.453808,197.280
1782471075.565909,183.540
1782471075.719594,190.410
1782471075.830720,202.570
1782471075.986930,196.310
1782471076.167037,177.000
1782471076.284046,177.850
1782471076.395068,178.070
1782471076.505510,170.130
1782471076.638041,184.900
1782471076.749022,186.730
1782471076.902642,173.970
1782471077.011698,180.070
1782471077.131237,193.580
1782471077.278361,200.150
1782471077.419813,212.640
1782471077.532226,224.900
1782471077.640365,214.020
1782471077.792788,215.630
1782471077.925289,226.480
1782471078.033386,237.080
1782471078.177310,216.810
1782471078.306217,221.230
1782471078.420085,230.100
1782471078.550278,203.750
1782471078.705614,208.180
1782471078.815536,209.490
1782471078.955273,184.920
1782471079.618661,158.050
1782471079.793539,137.160
1782471079.997127,138.090
1782471080.168789,138.180
1782471080.331098,159.060
1782471080.489100,160.310
1782471080.703934,155.600
1782471080.879009,151.460
1782471081.019879,163.820
1782471081.156825,172.500
1782471081.298241,156.820
1782471081.420773,167.810
1782471081.678638,167.170
1782471081.861444,175.330
1782471082.076232,150.280
1782471082.279688,148.330
1782471082.432204,166.490
1782471082.573262,152.800
1782471082.695533,154.700
1782471082.869771,146.940
1782471083.043829,163.640
1782471083.231452,189.370
1782471083.405772,171.650
1782471083.570351,167.520
1782471083.743691,181.960
1782471083.939303,189.120
1782471084.098179,185.480
1782471084.270396,165.090
1782471084.417534,171.010
1782471084.591390,177.030
1782471084.753905,167.490
1782471084.929878,188.710
1782471085.077308,173.300
1782471085.223435,185.500
1782471085.372581,180.310
1782471085.499140,177.680
1782471085.683578,169.250
1782471085.828663,186.440
1782471085.982740,170.200
1782471086.147365,168.400
1782471086.296639,166.520
1782471086.437071,184.950
1782471086.586634,183.430
1782471086.731862,203.150
1782471086.919094,194.030
1782471087.081750,193.930
1782471087.256074,189.390
1782471087.385103,173.980
1782471087.546341,190.390
1782471087.724495,174.240
1782471087.974689,173.910
1782471088.258971,153.820
1782471089.099411,125.280
1782471089.505510,128.970
1782471089.703793,132.690
1782471089.940131,150.790
1782471090.184972,149.090
1782471090.381812,147.920
1782471090.601324,151.210
1782471090.753093,157.210
1782471090.922223,154.340
1782471091.111817,164.230
1782471091.291610,165.810
1782471091.466005,170.620
1782471091.593791,167.990
1782471091.778260,156.300
1782471091.915449,149.660
1782471092.066204,146.400
1782471092.210984,150.820
1782471092.363176,156.480
1782471092.521484,166.710
1782471092.669204,169.270
1782471092.853757,172.610
1782471093.066089,168.240
1782471093.241736,185.550
1782471093.368480,161.960
1782471093.587461,163.100
1782471093.780773,149.930
1782471093.953481,159.860
1782471094.124547,159.830
1782471094.304126,158.910
1782471094.487362,159.710
1782471094.632963,184.330
1782471094.839777,189.770
1782471094.985125,190.580
