timestamp_s,power_w
1782472056.026075,115.570
1782472056.191920,118.410
1782472056.322986,128.650
1782472056.459605,131.000
1782472056.570626,131.670
1782472056.714261,147.670
1782472056.863369,148.070
1782472056.960650,140.350
1782472057.217862,139.980
1782472057.368366,137.610
1782472057.511446,150.910
1782472057.626968,156.800
1782472057.799689,151.710
1782472057.912703,161.260
1782472058.054702,161.230
1782472058.171192,161.820
1782472058.289917,151.570
1782472058.434137,140.820
1782472058.601035,133.620
1782472058.952142,118.560
1782472059.076460,118.260
1782472059.270757,115.750
1782472059.446944,115.850
1782472059.583029,111.830
1782472059.796837,116.370
1782472060.186913,117.470
1782472060.298436,121.920
1782472060.477516,122.790
1782472060.617300,133.480
1782472060.760463,129.660
1782472060.981193,133.090
1782472061.143449,130.880
1782472061.285766,127.790
1782472061.435930,127.820
1782472061.532703,113.290
1782472061.677262,113.800
1782472061.828085,120.680
1782472062.046508,118.510
1782472062.225687,126.320
1782472062.411178,139.310
1782472062.599653,144.180
1782472062.778027,138.600
1782472062.945418,138.770
1782472063.118777,148.470
1782472063.339954,129.580
1782472063.572491,124.310
1782472063.706598,131.670
1782472063.859253,130.940
1782472064.033735,120.460
1782472064.190631,123.390
1782472064.314914,135.640
1782472064.554576,137.740
1782472064.724683,138.240
1782472064.900820,143.890
1782472065.046778,142.810
1782472065.178372,140.640
1782472065.303360,131.080
1782472065.501132,136.890
1782472065.689579,132.010
1782472065.830604,130.740
1782472066.004873,136.390
1782472066.208599,147.400
1782472066.364684,140.210
1782472066.498410,142.160
1782472066.696921,141.340
1782472066.872328,137.700
1782472067.027331,139.580
1782472067.178006,137.790
1782472067.342599,128.100
1782472067.527736,128.010
1782472067.708402,136.040
1782472067.879929,136.580
1782472068.059747,128.290
1782472068.254294,128.460
1782472068.413863,141.470
1782472068.582355,136.380
1782472068.751381,126.990
1782472068.950183,126.870
1782472069.159295,125.460
1782472069.370972,111.220
1782472069.553112,111.130
1782472069.703694,117.280
1782472069.873651,117.180
1782472070.061285,117.280
1782472070.279813,118.220
1782472070.439260,117.760
1782472070.592749,120.760
1782472070.806745,123.870
1782472071.001168,130.450
1782472071.178502,129.500
1782472071.344160,130.430
1782472071.474342,131.070
1782472071.599313,130.760
1782472071.767957,122.020
1782472071.989699,124.340
