timestamp_s,power_w
1782472050.902141,249.940
1782472051.232733,237.080
1782472051.344638,201.220
1782472051.524996,170.820
1782472051.674674,146.610
1782472051.814504,110.490
1782472051.955490,108.530
1782472052.096461,108.530
1782472052.237337,108.500
1782472052.351237,108.400
1782472052.490928,108.410
1782472052.643092,108.380
1782472052.777426,108.300
1782472052.934887,108.320
1782472053.074907,108.300
1782472053.231825,108.340
1782472053.432472,108.320
1782472053.583377,108.310
1782472053.717307,108.320
1782472053.840979,108.310
1782472053.945489,108.280
1782472054.110375,108.280
1782472054.254400,108.260
1782472054.387691,108.210
1782472054.532979,108.210
1782472054.677773,108.200
1782472054.815860,108.200
1782472054.954762,108.230
1782472055.144039,108.240
1782472055.319542,108.250
1782472055.524284,108.250
1782472055.735476,108.270
