timestamp_s,power_w
1782385045.9065251,232.46
1782385046.0896978,288.62
1782385046.246699,298.36
1782385046.3747156,348.54
1782385046.541064,399.02
1782385046.6659849,398.88
1782385046.8206127,398.82
1782385046.9706428,399.02
1782385047.1417882,400.07
1782385047.287462,402.48
1782385047.44455,403.37
1782385047.611442,404.89
1782385047.7798147,406.09
1782385047.9579039,406.61
1782385048.1190605,407.58
1782385048.2987232,407.57
1782385048.4236543,407.94
1782385048.5783179,408.24
1782385048.695088,408.93
1782385048.8687727,409.19
1782385049.0028758,409.03
1782385049.1830213,409.96
1782385049.3699834,409.62
1782385049.508107,409.52
1782385049.635784,410.07
1782385049.8150108,409.96
1782385049.9786031,409.48
1782385050.1200755,410.39
1782385050.299021,410.7
1782385050.441409,410.64
1782385050.6093903,411.34
1782385050.7523355,411.14
1782385050.9054968,411.01
1782385051.051263,411.06
1782385051.1961625,409.71
1782385051.363245,410.81
1782385051.5294485,410.69
1782385051.7018425,411.08
1782385051.8162875,410.87
1782385051.986125,411.28
1782385052.1498482,411.54
1782385052.3072064,411.81
1782385052.422539,411.74
1782385052.5725918,412.01
1782385052.709177,412.34
1782385052.8812797,412.44
1782385052.9956079,412.14
1782385053.1724014,412.18
1782385053.3081532,412.8
1782385053.4760284,413.08
1782385053.6389077,412.9
1782385053.8159988,413.58
1782385053.948383,413.41
1782385054.1205726,414.23
1782385054.2499976,414.17
1782385054.4081802,413.8
1782385054.5557923,413.79
1782385054.7233796,414.22
1782385054.848417,414.16
1782385054.998204,413.88
1782385055.1684825,414.01
