timestamp_s,power_w
1782385025.4932609,72.73
1782385025.7012045,72.73
1782385025.9455965,72.71
1782385026.1748743,72.69
1782385026.3478851,72.63
1782385026.5425122,72.68
1782385026.7332153,72.71
1782385026.929997,72.67
1782385027.107981,72.68
1782385027.2942944,72.69
1782385027.4805508,72.68
1782385027.6789773,72.64
1782385027.8598583,72.53
1782385028.0899706,72.44
1782385028.2808778,72.49
1782385028.487513,72.54
1782385028.7254467,72.68
1782385028.920137,72.79
1782385029.1620574,72.84
1782385029.3608377,72.75
1782385029.5620363,72.79
1782385029.7797308,72.76
1782385029.9735453,72.62
1782385030.2025242,72.62
1782385030.4095006,72.61
