timestamp_s,power_w
1782385124.18856,166.79
1782385124.3648944,223.54
1782385124.536976,244.64
1782385124.695829,265.33
1782385124.8206398,290.77
1782385124.965255,330.84
1782385125.1536613,331.15
1782385125.3095446,330.61
1782385125.4838188,330.77
1782385125.6237814,330.28
1782385125.7949514,330.0
1782385125.9376404,330.13
1782385126.110353,330.58
1782385126.270481,332.04
1782385126.4453852,332.38
1782385126.5777726,333.14
1782385126.7206416,335.03
1782385126.839034,336.48
1782385126.9934552,337.75
1782385127.131874,338.59
1782385127.3062088,339.29
1782385127.4955525,339.34
1782385127.676005,339.92
1782385127.8267238,339.91
1782385127.9452043,340.03
1782385128.0699775,340.29
1782385128.2017436,340.55
1782385128.3492115,340.32
1782385128.4883168,340.89
1782385128.6097004,340.8
1782385128.792149,341.07
1782385128.9271734,341.22
1782385129.0967658,341.31
1782385129.2465901,341.81
1782385129.4283724,342.08
1782385129.6286006,342.08
1782385129.779526,342.25
1782385129.934649,342.32
1782385130.081418,342.45
1782385130.2199402,342.51
1782385130.3705277,342.61
1782385130.5445738,342.67
1782385130.7322488,342.47
1782385130.8738992,342.47
1782385131.0235918,342.2
1782385131.1556528,341.88
1782385131.327845,342.07
1782385131.5075028,342.13
1782385131.6398153,342.17
1782385131.797868,342.43
1782385131.9433236,342.64
1782385132.067625,342.84
1782385132.2212653,342.65
1782385132.3801694,343.02
1782385132.518922,343.51
1782385132.6860318,343.31
1782385132.8432322,342.98
1782385133.022394,342.78
1782385133.1780093,342.5
