timestamp_s,power_w
1782385108.1826954,72.96
1782385108.379764,73.0
1782385108.600733,73.04
1782385108.7710443,73.04
1782385108.9521825,72.97
1782385109.161598,72.95
1782385109.3442852,72.93
1782385109.5455098,72.93
1782385109.7574863,72.95
1782385109.9608004,72.94
1782385110.131757,72.9
1782385110.3378232,72.86
1782385110.5491443,72.85
1782385110.762116,72.86
1782385110.9738708,72.83
1782385111.1627934,72.83
1782385111.3484848,72.87
1782385111.559591,72.9
1782385111.766543,72.87
1782385111.9544194,72.87
1782385112.164738,72.89
1782385112.350697,72.89
1782385112.5730977,72.87
1782385112.8049874,72.89
1782385113.0087337,72.86
