arm,tau_ego,tau_rsu,honest_DS,ci95,catastrophe_pct
ego_only,0,0,99.3,1.4,0.0
ego_only,50,0,99.6,0.8,0.0
ego_only,100,0,97.5,2.9,0.0
ego_only,150,0,98.3,1.4,0.0
ego_only,200,0,98.5,1.2,0.0
ego_only,250,0,94.9,2.0,0.0
ego_only,300,0,90.9,4.6,0.0
ego_only,350,0,95.5,3.2,0.0
ego_only,400,0,93.8,4.2,0.0
ego_only,450,0,93.1,3.6,0.0
ego_only,500,0,91.5,4.6,0.0
ego_only,550,0,90.4,5.2,1.4
ego_only,600,0,92.1,4.4,0.0
ego_only,650,0,76.9,7.1,0.0
ego_only,700,0,74.4,7.8,4.2
ego_only,800,0,74.5,7.4,0.0
ego_only,900,0,60.0,8.6,6.9
ego_only,1000,0,57.0,9.6,22.2
coupled,0,50,100.0,0.0,0.0
coupled,200,250,96.5,3.0,0.0
coupled,300,350,96.4,3.2,0.0
coupled,400,450,94.7,3.8,0.0
coupled,500,550,91.4,4.9,0.0
coupled,600,650,91.1,5.0,0.0
coupled,700,750,76.2,7.7,1.4
coupled,800,850,69.0,8.3,8.3
coupled,900,950,59.3,8.0,0.0
coupled,1000,1050,60.7,8.7,2.8
