tau_perc_ms,catastrophe_rate_pct,honest_meanDS,ci95,completed_collision_rate,n_run
0,0.0,98.7,1.5,0.029,105
50,4.8,92.7,4.5,0.060,105
100,0.0,92.2,3.8,0.143,105
150,0.0,94.8,3.2,0.101,99
200,0.0,95.0,2.9,0.105,105
250,0.0,92.0,4.0,0.133,105
300,0.0,88.7,4.6,0.190,105
350,0.0,91.1,4.1,0.152,105
400,0.0,90.8,4.4,0.143,105
450,0.0,88.4,4.7,0.181,105
500,0.0,87.3,5.0,0.190,105
550,5.7,82.7,6.3,0.172,105
600,5.7,82.0,6.3,0.192,105
650,5.7,68.3,7.2,0.384,105
700,10.5,66.2,7.5,0.372,105
800,5.7,66.4,7.3,0.424,105
900,10.5,51.6,7.5,0.574,105
1000,29.5,47.7,8.2,0.459,105
