tau,route,rep,status,ds,rc,pen,colped,colveh,collay,vblock
0,0,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,0,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,0,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,1,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,1,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,1,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,5,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,5,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,5,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,7,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,7,2,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
0,7,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,11,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,11,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,11,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,16,1,Completed,50.0,100.0,0.5,0.14142135758600868,0.0,0.0,0.0
0,16,2,Completed,50.0,100.0,0.5,0.14142135758600868,0.0,0.0,0.0
0,16,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,17,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,17,2,Completed,50.0,100.0,0.5,0.14142135488861035,0.0,0.0,0.0
0,17,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,24,1,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
0,24,2,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
0,24,3,Completed,30.0,100.0,0.3,0.14142136702690314,0.14142136702690314,0.0,0.0
0,302,1,Completed,50.0,100.0,0.5,0.12053933292791054,0.0,0.0,0.0
0,302,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,302,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,307,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,307,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,310,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,310,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,310,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,325,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,325,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,325,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
0,326,1,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
0,326,2,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
0,326,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,0,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,0,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,0,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,1,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,1,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,1,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,5,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,5,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,5,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,7,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,7,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,7,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,11,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,11,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,11,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,16,1,Completed,25.0,100.0,0.25,0.28284271517201737,0.0,0.0,0.0
100,16,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,16,3,Completed,50.0,100.0,0.5,0.14142135758600868,0.0,0.0,0.0
100,17,1,Completed,50.0,100.0,0.5,0.14142135488861035,0.0,0.0,0.0
100,17,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,17,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,24,1,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
100,24,2,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
100,24,3,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
100,302,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,302,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,302,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,307,1,Completed,12.5,100.0,0.125,0.36161800880534667,0.0,0.0,0.0
100,307,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,307,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,310,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,310,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,310,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,325,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,325,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,325,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,326,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,326,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
100,326,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,0,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,0,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,0,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,1,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,1,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,1,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,5,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,5,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,5,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,7,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,7,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,7,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,11,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,11,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
