build_secs,d,engine_size_mb,lat_mean,lat_p50,lat_p99,lat_std,num_filters,q,status,tag,target_epoch
28.3,D1_default,13.583,0.88,0.88,0.884,0.007,"[64, 128, 256]",fp16,ok,p64_baseline,19
1.7,D2_BL0_default,13.528,1.672,1.672,1.676,0.007,"[64, 128, 256]",fp16,ok,p64_baseline,19
1.6,D3_BL0_enableall,13.532,1.672,1.671,1.676,0.006,"[64, 128, 256]",fp16,ok,p64_baseline,19
34.8,D1_default,8.209,0.754,0.764,0.768,0.019,"[64, 128, 256]",int8_mm,ok,p64_baseline,19
2.1,D2_BL0_default,8.469,1.162,1.152,1.222,0.025,"[64, 128, 256]",int8_mm,ok,p64_baseline,19
2.1,D3_BL0_enableall,8.612,1.127,1.127,1.133,0.005,"[64, 128, 256]",int8_mm,ok,p64_baseline,19
11.2,D1_default,25.457,2.246,2.246,2.255,0.006,"[64, 128, 256]",int8_pc_wo,ok,p64_baseline,19
0.5,D2_BL0_default,26.106,5.333,5.333,5.343,0.008,"[64, 128, 256]",int8_pc_wo,ok,p64_baseline,19
0.5,D3_BL0_enableall,26.106,5.33,5.329,5.34,0.009,"[64, 128, 256]",int8_pc_wo,ok,p64_baseline,19
29.1,D1_default,8.652,1.378,1.377,1.384,0.013,"[48, 96, 192]",fp16,ok,p48,27
1.6,D2_BL0_default,8.491,3.011,3.011,3.016,0.007,"[48, 96, 192]",fp16,ok,p48,27
1.6,D3_BL0_enableall,8.491,3.009,3.009,3.015,0.006,"[48, 96, 192]",fp16,ok,p48,27
33.2,D1_default,8.617,1.617,1.616,1.622,0.006,"[48, 96, 192]",int8_mm,ok,p48,27
2.1,D2_BL0_default,5.016,2.692,2.692,2.697,0.006,"[48, 96, 192]",int8_mm,ok,p48,27
2.1,D3_BL0_enableall,4.997,2.681,2.681,2.685,0.006,"[48, 96, 192]",int8_mm,ok,p48,27
12.4,D1_default,15.639,1.868,1.868,1.874,0.007,"[48, 96, 192]",int8_pc_wo,ok,p48,27
0.5,D2_BL0_default,16.508,3.828,3.827,3.843,0.008,"[48, 96, 192]",int8_pc_wo,ok,p48,27
0.5,D3_BL0_enableall,16.508,3.832,3.831,3.842,0.007,"[48, 96, 192]",int8_pc_wo,ok,p48,27
25.4,D1_default,5.22,0.593,0.593,0.596,0.007,"[32, 64, 128]",fp16,ok,p32,27
1.6,D2_BL0_default,4.696,1.555,1.554,1.56,0.007,"[32, 64, 128]",fp16,ok,p32,27
1.5,D3_BL0_enableall,4.688,1.555,1.554,1.561,0.006,"[32, 64, 128]",fp16,ok,p32,27
34.7,D1_default,4.519,0.637,0.628,0.66,0.017,"[32, 64, 128]",int8_mm,ok,p32,27
2.2,D2_BL0_default,3.665,0.811,0.804,0.849,0.019,"[32, 64, 128]",int8_mm,ok,p32,27
2.5,D3_BL0_enableall,3.665,0.823,0.805,0.852,0.024,"[32, 64, 128]",int8_mm,ok,p32,27
12.3,D1_default,9.085,1.1,1.1,1.105,0.007,"[32, 64, 128]",int8_pc_wo,ok,p32,27
0.5,D2_BL0_default,8.358,3.71,3.709,3.723,0.009,"[32, 64, 128]",int8_pc_wo,ok,p32,27
0.5,D3_BL0_enableall,8.358,3.715,3.715,3.723,0.007,"[32, 64, 128]",int8_pc_wo,ok,p32,27
27.8,D1_default,2.301,0.466,0.459,0.483,0.012,"[16, 32, 64]",fp16,ok,p16,27
1.5,D2_BL0_default,2.238,0.724,0.724,0.726,0.006,"[16, 32, 64]",fp16,ok,p16,27
1.5,D3_BL0_enableall,2.237,0.735,0.724,0.768,0.02,"[16, 32, 64]",fp16,ok,p16,27
36.3,D1_default,3.456,0.556,0.562,0.567,0.013,"[16, 32, 64]",int8_mm,ok,p16,27
2.1,D2_BL0_default,2.22,0.668,0.668,0.671,0.006,"[16, 32, 64]",int8_mm,ok,p16,27
2.1,D3_BL0_enableall,2.22,0.643,0.636,0.67,0.014,"[16, 32, 64]",int8_mm,ok,p16,27
12.3,D1_default,4.467,0.723,0.723,0.727,0.006,"[16, 32, 64]",int8_pc_wo,ok,p16,27
0.4,D2_BL0_default,3.715,1.706,1.705,1.711,0.007,"[16, 32, 64]",int8_pc_wo,ok,p16,27
0.4,D3_BL0_enableall,3.715,1.707,1.707,1.713,0.006,"[16, 32, 64]",int8_pc_wo,ok,p16,27
27.7,D1_default,1.753,0.444,0.443,0.446,0.005,"[8, 16, 32]",fp16,ok,p8,27
1.4,D2_BL0_default,2.038,0.708,0.71,0.713,0.011,"[8, 16, 32]",fp16,ok,p8,27
1.4,D3_BL0_enableall,2.052,0.699,0.698,0.702,0.005,"[8, 16, 32]",fp16,ok,p8,27
36.1,D1_default,2.077,0.517,0.517,0.52,0.005,"[8, 16, 32]",int8_mm,ok,p8,27
2.2,D2_BL0_default,2.002,0.619,0.615,0.647,0.012,"[8, 16, 32]",int8_mm,ok,p8,27
2.1,D3_BL0_enableall,2.047,0.642,0.648,0.65,0.014,"[8, 16, 32]",int8_mm,ok,p8,27
12.0,D1_default,2.955,0.565,0.564,0.567,0.006,"[8, 16, 32]",int8_pc_wo,ok,p8,27
0.5,D2_BL0_default,2.474,1.027,1.026,1.032,0.006,"[8, 16, 32]",int8_pc_wo,ok,p8,27
0.4,D3_BL0_enableall,2.474,1.028,1.027,1.033,0.006,"[8, 16, 32]",int8_pc_wo,ok,p8,27
