build_secs,d,engine_size_mb,lat_p50,lat_p99,lat_std,num_filters,q,sparsity,status,tag
34.9,D1_default,11.838,0.875,0.916,0.024,"[64, 128, 256]",fp16,n2_m4,ok,p64
63.2,D1_default,8.285,0.709,0.712,0.015,"[64, 128, 256]",int8_mm,n2_m4,ok,p64
38.2,D1_default,8.431,1.362,1.367,0.006,"[48, 96, 192]",fp16,n2_m4,ok,p48
66.3,D1_default,8.662,1.349,1.354,0.006,"[48, 96, 192]",int8_mm,n2_m4,ok,p48
33.9,D1_default,5.16,0.584,0.587,0.005,"[32, 64, 128]",fp16,n2_m4,ok,p32
64.7,D1_default,5.236,0.555,0.558,0.006,"[32, 64, 128]",int8_mm,n2_m4,ok,p32
36.6,D1_default,2.507,0.449,0.451,0.005,"[16, 32, 64]",fp16,n2_m4,ok,p16
70.2,D1_default,2.524,0.482,0.484,0.006,"[16, 32, 64]",int8_mm,n2_m4,ok,p16
37.6,D1_default,1.592,0.446,0.449,0.005,"[8, 16, 32]",fp16,n2_m4,ok,p8
70.3,D1_default,2.003,0.46,0.462,0.006,"[8, 16, 32]",int8_mm,n2_m4,ok,p8
