triplet,ft,q,d,seed,ap50,lat_p50_ms,src,planes_s1,planes_s2,planes_s3,total_prune_pct,in_predictor
T_g8_p87,4,fp32,default,-1,0.4891,,v2_3a,8,8,8,0.9464285714285714,False
T_g8_p87,8,fp32,default,-1,0.5697,,v2_3a,8,8,8,0.9464285714285714,True
T_g8_p87,15,fp32,default,-1,0.5272,,v2_3a,8,8,8,0.9464285714285714,True
T_g8_p93,4,fp32,default,-1,0.4951,,v2_3a,8,4,4,0.9642857142857143,False
T_g8_p93,8,fp32,default,-1,0.562,,v2_3a,8,4,4,0.9642857142857143,True
T_g8_p93,15,fp32,default,-1,0.5495,,v2_3a,8,4,4,0.9642857142857143,True
T_g8_p97,4,fp32,default,-1,0.3665,,v2_3a,4,4,4,0.9732142857142857,False
T_g8_p97,8,fp32,default,-1,0.5063,,v2_3a,4,4,4,0.9732142857142857,True
T_g8_p97,15,fp32,default,-1,0.5533,,v2_3a,4,4,4,0.9732142857142857,True
T_g8_p87,8,fp16,default,-1,0.5695,,v2_3b,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_mm,default,-1,0.57,,v2_3b,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_pc_wo,default,-1,0.5718,,v2_3b,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_ent,default,-1,0.5221,,v2_3b,8,8,8,0.9464285714285714,True
T_g8_p93,8,fp16,default,-1,0.5622,,v2_3b,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_mm,default,-1,0.5597,,v2_3b,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_pc_wo,default,-1,0.5621,,v2_3b,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_ent,default,-1,0.5027,,v2_3b,8,4,4,0.9642857142857143,True
T_g8_p97,8,fp16,default,-1,0.5063,,v2_3b,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_mm,default,-1,0.5098,,v2_3b,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_pc_wo,default,-1,0.455,,v2_3b,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_ent,default,-1,0.4814,,v2_3b,4,4,4,0.9732142857142857,True
T_g8_p87,0,fp16,default,-1,0.0,,v3_1.1,8,8,8,0.9464285714285714,False
T_g8_p87,2,fp16,default,-1,0.3909,,v3_1.1,8,8,8,0.9464285714285714,False
T_g8_p87,2,int8_mm,default,-1,0.3791,,v3_1.1,8,8,8,0.9464285714285714,False
T_g8_p87,2,int8_pc_wo,default,-1,0.3788,,v3_1.1,8,8,8,0.9464285714285714,False
T_g8_p87,2,int8_ent,default,-1,0.339,,v3_1.1,8,8,8,0.9464285714285714,False
T_g8_p93,0,fp16,default,-1,0.0,,v3_1.1,8,4,4,0.9642857142857143,False
T_g8_p93,0,int8_mm,default,-1,0.0,,v3_1.1,8,4,4,0.9642857142857143,False
T_g8_p93,0,int8_pc_wo,default,-1,0.0,,v3_1.1,8,4,4,0.9642857142857143,False
T_g8_p93,0,int8_ent,default,-1,0.0,,v3_1.1,8,4,4,0.9642857142857143,False
T_g8_p93,2,fp16,default,-1,0.1605,,v3_1.1,8,4,4,0.9642857142857143,False
T_g8_p93,2,int8_mm,default,-1,0.1583,,v3_1.1,8,4,4,0.9642857142857143,False
T_g8_p93,2,int8_pc_wo,default,-1,0.1566,,v3_1.1,8,4,4,0.9642857142857143,False
T_g8_p93,2,int8_ent,default,-1,0.1438,,v3_1.1,8,4,4,0.9642857142857143,False
T_g8_p97,0,fp16,default,-1,0.0,,v3_1.1,4,4,4,0.9732142857142857,False
T_g8_p97,0,int8_mm,default,-1,0.0,,v3_1.1,4,4,4,0.9732142857142857,False
