triplet,ft,q,d,seed,ap50,lat_p50_ms,src,planes_s1,planes_s2,planes_s3,total_prune_pct,build_success
T1_base,8,fp32,D1_default_4gb,-1,0.5493,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T1_base,8,fp16,D1_default_4gb,-1,0.5491,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T1_base,8,int8_pt_wa_mm,D1_default_4gb,-1,0.546,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T1_base,8,int8_pc_wo,D1_default_4gb,-1,0.5447,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T1_base,8,int8_pt_wa_ent,D1_default_4gb,-1,0.2395,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T2_p25,8,fp32,D1_default_4gb,-1,0.5451,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T2_p25,8,fp16,D1_default_4gb,-1,0.5453,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T2_p25,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5424,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T2_p25,8,int8_pc_wo,D1_default_4gb,-1,0.5454,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T2_p25,8,int8_pt_wa_ent,D1_default_4gb,-1,0.4892,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T3_p37,8,fp32,D1_default_4gb,-1,0.5268,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T3_p37,8,fp16,D1_default_4gb,-1,0.5272,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T3_p37,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5252,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T3_p37,8,int8_pc_wo,D1_default_4gb,-1,0.5247,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T3_p37,8,int8_pt_wa_ent,D1_default_4gb,-1,0.2449,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T4_p50,8,fp32,D1_default_4gb,-1,0.5334,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T4_p50,8,fp16,D1_default_4gb,-1,0.5335,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T4_p50,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5289,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T4_p50,8,int8_pc_wo,D1_default_4gb,-1,0.5285,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T4_p50,8,int8_pt_wa_ent,D1_default_4gb,-1,0.0958,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T5_p62,8,fp32,D1_default_4gb,-1,0.5273,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T5_p62,8,fp16,D1_default_4gb,-1,0.5276,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T5_p62,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5012,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T5_p62,8,int8_pc_wo,D1_default_4gb,-1,0.5066,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T5_p62,8,int8_pt_wa_ent,D1_default_4gb,-1,0.4669,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T6_p75,8,fp32,D1_default_4gb,-1,0.5583,,plan4_phaseA_phaseCstage1,16,32,64,0.75,True
T6_p75,8,fp16,D1_default_4gb,-1,0.5584,,plan4_phaseA_phaseCstage1,16,32,64,0.75,True
T6_p75,8,int8_pt_wa_mm,D1_default_4gb,-1,0.555,,plan4_phaseA_phaseCstage1,16,32,64,0.75,True
T6_p75,8,int8_pc_wo,D1_default_4gb,-1,0.5543,,plan4_phaseA_phaseCstage1,16,32,64,0.75,True
T7_wide_shallow,8,fp32,D1_default_4gb,-1,0.5031,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,fp16,D1_default_4gb,-1,0.5027,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,int8_pt_wa_mm,D1_default_4gb,-1,0.4948,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,int8_pc_wo,D1_default_4gb,-1,0.4962,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,int8_pt_wa_ent,D1_default_4gb,-1,0.3813,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T8_narrow_deep,8,fp32,D1_default_4gb,-1,0.5432,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,fp16,D1_default_4gb,-1,0.5435,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5454,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,int8_pc_wo,D1_default_4gb,-1,0.545,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,int8_pt_wa_ent,D1_default_4gb,-1,0.1934,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T10_p11,8,fp32,D1_default_4gb,-1,0.5149,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T10_p11,8,fp16,D1_default_4gb,-1,0.5149,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T10_p11,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5165,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T10_p11,8,int8_pc_wo,D1_default_4gb,-1,0.5165,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T10_p11,8,int8_pt_wa_ent,D1_default_4gb,-1,0.0429,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T11_p14,8,fp32,D1_default_4gb,-1,0.5081,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
T11_p14,8,fp16,D1_default_4gb,-1,0.5079,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
T11_p14,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5022,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
