config_id,source,is_pareto,est_amota,est_lat_e2e_ms,est_uncertainty,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
p1a_0000,a7_random,False,0.31486666666666663,529.4086666666667,0.017077340412240898,"d3_baseline_int8_2frame,v3_D3,v3_D4","1.000,1.000,1.000",none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU
p1a_0001,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU
p1a_0002,a7_random,False,0.3485237992653707,2154.4996430064857,0.02239543604298776,"all_fp32_pt,v3_baseline,bev_fp16_trt","2.000,2.000,2.236",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
p1a_0003,a7_random,False,0.24133333333333337,422.4666666666667,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.732,1.732,1.732",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU
p1a_0004,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.414,1.414,1.414",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU
p1a_0005,a7_random,False,0.32986789969713637,409.42734091316777,0.031691428914876446,"v3_D1,d3_baseline_fp16_2frame,all_fp16_trt","1.732,2.000,2.000",none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
p1a_0006,a7_random,False,0.3303085034556132,407.6262481753861,0.031691428914876446,"v3_D1,d3_baseline_fp16_2frame,all_fp16_trt","2.000,2.236,2.236",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
p1a_0007,a7_random,False,0.32465937120645316,401.9928148462934,0.0301404490123599,"v3_D2,v3_D3,all_fp16_trt","1.414,1.732,2.000",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
p1a_0008,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
p1a_0009,a7_random,False,0.31705001766463975,386.44242650428185,0.04900784517696008,"v3_E11,all_fp16_trt,d3_baseline_fp16_2frame","1.871,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU
