feature,gain,split,subnet_type,target
qbits_encoder_FP16,41.74015251919627,21,CNN,amota
qgran_encoder_per-tensor,28.823907256126404,21,CNN,amota
qbits_heads_FP32,19.07658539712429,26,MLP,amota
prune_rate__encoder,16.635101245716214,29,CNN,amota
source_1.1_quant,16.15822900738567,51,Source,amota
prune_object_none,9.758770912885666,22,Global,amota
source_1.2_prune,6.87331108469516,41,Source,amota
source_plan_b_active,5.7299148961901665,50,Source,amota
qgran_backbone_per-channel,5.658466964960098,10,CNN,amota
qgran_backbone_per-tensor,3.9395613595843315,17,CNN,amota
qbits_decoder_FP16,2.869177997112274,5,Transformer,amota
prune_rate__decoder,2.858168146573007,43,Transformer,amota
qbits_backbone_FP32,2.011151971295476,9,CNN,amota
d_runtime_pytorch_fp32,1.9981639981269836,6,Global,amota
source_1.3_d,1.2756121885031462,28,Source,amota
qbits_backbone_FP16,1.0604692045599222,16,CNN,amota
source_synth_dspace,0.8795642973855138,29,Source,amota
d_runtime_trt_fp16,0.7380884196609259,8,Global,amota
source_1.2_prune_ft,0.7199016995728016,13,Source,amota
qbits_encoder_FP32,0.5209409147500992,5,CNN,amota
source_1.2_pareto,0.5119976997375488,18,Source,amota
source_1.2_P1_FFN,0.3138960273936391,11,Source,amota
qbits_encoder_INT8,0.07815329730510712,1,CNN,amota
qbits_v2x_comm_FP16,0.0,0,MLP,amota
qbits_v2x_comm_INT8,0.0,0,MLP,amota
qgran_v2x_comm_per-tensor,0.0,0,MLP,amota
qgran_v2x_comm_per-channel,0.0,0,MLP,amota
d_dla_v2x_comm,0.0,0,MLP,amota
prune_object_2:4,0.0,0,Global,amota
source_1.2_joint,0.0,0,Source,amota
prune_object_channel,0.0,0,Global,amota
crit_v2x_comm_L1,0.0,0,MLP,amota
d_pipelined,0.0,0,Global,amota
d_temporal_cache_int8,0.0,0,Global,amota
d_runtime_trt_int8,0.0,0,Global,amota
qbits_v2x_comm_FP32,0.0,0,MLP,amota
prune_rate__backbone,0.0,0,CNN,amota
prune_rate__v2x_comm,0.0,0,MLP,amota
qbits_decoder_FP32,0.0,0,Transformer,amota
crit_backbone_FPGM,0.0,0,CNN,amota
qbits_backbone_INT8,0.0,0,CNN,amota
d_dla_backbone,0.0,0,CNN,amota
crit_encoder_L1,0.0,0,CNN,amota
crit_encoder_FPGM,0.0,0,CNN,amota
qgran_encoder_per-channel,0.0,0,CNN,amota
d_dla_encoder,0.0,0,CNN,amota
crit_decoder_Taylor,0.0,0,Transformer,amota
crit_decoder_Wanda,0.0,0,Transformer,amota
qbits_decoder_INT8,0.0,0,Transformer,amota
d_dla_heads,0.0,0,MLP,amota
qgran_decoder_per-tensor,0.0,0,Transformer,amota
qgran_decoder_per-channel,0.0,0,Transformer,amota
d_dla_decoder,0.0,0,Transformer,amota
prune_rate__heads,0.0,0,MLP,amota
crit_heads_L1,0.0,0,MLP,amota
crit_backbone_L1,0.0,0,CNN,amota
qbits_heads_INT8,0.0,0,MLP,amota
qgran_heads_per-tensor,0.0,0,MLP,amota
qgran_heads_per-channel,0.0,0,MLP,amota
qbits_heads_FP16,0.0,0,MLP,amota
prune_rate__backbone,49962723.0,29,CNN,lat_e2e_ms
prune_rate__encoder,36301381.1015625,44,CNN,lat_e2e_ms
source_1.3_d,32484555.8046875,92,Source,lat_e2e_ms
qbits_encoder_FP16,27895814.5,15,CNN,lat_e2e_ms
qgran_backbone_per-tensor,27272142.0,21,CNN,lat_e2e_ms
source_plan_b_active,21930065.6953125,47,Source,lat_e2e_ms
d_pipelined,13436752.401367188,51,Global,lat_e2e_ms
qgran_backbone_per-channel,11204312.69921875,16,CNN,lat_e2e_ms
source_1.1_quant,8896508.0,14,Source,lat_e2e_ms
source_1.2_P1_FFN,7107274.1015625,21,Source,lat_e2e_ms
qbits_backbone_INT8,5873488.0,6,CNN,lat_e2e_ms
qbits_encoder_INT8,5825971.0,5,CNN,lat_e2e_ms
source_synth_dspace,4083585.501953125,34,Source,lat_e2e_ms
d_runtime_trt_int8,2716743.99609375,26,Global,lat_e2e_ms
qbits_encoder_FP32,1958240.40625,13,CNN,lat_e2e_ms
qbits_backbone_FP32,1909509.0,2,CNN,lat_e2e_ms
d_runtime_trt_fp16,1850512.1953125,25,Global,lat_e2e_ms
qbits_backbone_FP16,788329.498046875,9,CNN,lat_e2e_ms
qbits_decoder_FP16,466085.900390625,2,Transformer,lat_e2e_ms
d_runtime_pytorch_fp32,173676.19921875,3,Global,lat_e2e_ms
qbits_heads_INT8,94222.900390625,4,MLP,lat_e2e_ms
prune_rate__decoder,13166.599609375,1,Transformer,lat_e2e_ms
crit_encoder_L1,0.0,0,CNN,lat_e2e_ms
qgran_v2x_comm_per-tensor,0.0,0,MLP,lat_e2e_ms
qgran_v2x_comm_per-channel,0.0,0,MLP,lat_e2e_ms
d_dla_v2x_comm,0.0,0,MLP,lat_e2e_ms
prune_object_none,0.0,0,Global,lat_e2e_ms
prune_object_channel,0.0,0,Global,lat_e2e_ms
prune_object_2:4,0.0,0,Global,lat_e2e_ms
crit_backbone_FPGM,0.0,0,CNN,lat_e2e_ms
d_temporal_cache_int8,0.0,0,Global,lat_e2e_ms
qbits_v2x_comm_FP16,0.0,0,MLP,lat_e2e_ms
d_dla_backbone,0.0,0,CNN,lat_e2e_ms
source_1.2_prune,0.0,0,Source,lat_e2e_ms
