feature,gain,split,subnet_type,target
prune_rate__encoder,0.20145158460218227,121,CNN,amota
qbits_backbone_FP32,0.07688309892546386,32,CNN,amota
prune_rate__decoder,0.05742812742028036,106,Transformer,amota
qbits_encoder_FP16,0.03559466893784702,18,CNN,amota
qbits_encoder_INT8,0.028200501896208152,33,CNN,amota
d_runtime_trt_fp16,0.019898071157513186,17,Global,amota
d_temporal_cache_int8,0.018816262807376916,35,Global,amota
qgran_backbone_per-tensor,0.012176730029750615,28,CNN,amota
d_runtime_trt_int8,0.008676588244270533,5,Global,amota
qbits_v2x_comm_INT8,0.006758649949915707,4,MLP,amota
d_runtime_pytorch_fp32,0.006647221103776246,11,Global,amota
qbits_heads_INT8,0.006454211077652872,18,MLP,amota
qbits_decoder_INT8,0.006388507972587831,10,Transformer,amota
prune_object_channel,0.005935639390372671,12,Global,amota
prune_object_none,0.002393037953879684,4,Global,amota
qbits_backbone_INT8,0.002036943973507732,4,CNN,amota
qbits_encoder_FP32,0.0018341539544053376,3,CNN,amota
qgran_backbone_per-channel,0.0010913435980910435,11,CNN,amota
qbits_heads_FP16,0.0006961409817449749,1,MLP,amota
qbits_heads_FP32,0.0003917739959433675,2,MLP,amota
qgran_encoder_per-tensor,0.0003067543984798249,4,CNN,amota
qbits_backbone_FP16,0.00021010200725868344,1,CNN,amota
qbits_v2x_comm_FP32,0.0,0,MLP,amota
prune_rate__v2x_comm,0.0,0,MLP,amota
crit_v2x_comm_L1,0.0,0,MLP,amota
prune_object_2:4,0.0,0,Global,amota
qbits_v2x_comm_FP16,0.0,0,MLP,amota
qgran_v2x_comm_per-tensor,0.0,0,MLP,amota
qgran_v2x_comm_per-channel,0.0,0,MLP,amota
d_dla_v2x_comm,0.0,0,MLP,amota
qgran_heads_per-channel,0.0,0,MLP,amota
d_pipelined,0.0,0,Global,amota
d_dla_heads,0.0,0,MLP,amota
prune_rate__backbone,0.0,0,CNN,amota
qgran_heads_per-tensor,0.0,0,MLP,amota
crit_decoder_Taylor,0.0,0,Transformer,amota
crit_backbone_FPGM,0.0,0,CNN,amota
d_dla_backbone,0.0,0,CNN,amota
crit_encoder_L1,0.0,0,CNN,amota
crit_encoder_FPGM,0.0,0,CNN,amota
qgran_encoder_per-channel,0.0,0,CNN,amota
d_dla_encoder,0.0,0,CNN,amota
crit_decoder_Wanda,0.0,0,Transformer,amota
crit_heads_L1,0.0,0,MLP,amota
qbits_decoder_FP32,0.0,0,Transformer,amota
qbits_decoder_FP16,0.0,0,Transformer,amota
qgran_decoder_per-tensor,0.0,0,Transformer,amota
crit_backbone_L1,0.0,0,CNN,amota
d_dla_decoder,0.0,0,Transformer,amota
prune_rate__heads,0.0,0,MLP,amota
qgran_decoder_per-channel,0.0,0,Transformer,amota
prune_rate__encoder,20116247.266159058,99,CNN,lat_e2e_ms
qbits_encoder_FP32,15685233.358886719,44,CNN,lat_e2e_ms
crit_encoder_L1,11525941.350097656,9,CNN,lat_e2e_ms
d_pipelined,6605778.792907715,71,Global,lat_e2e_ms
d_runtime_trt_fp16,536389.5107421875,47,Global,lat_e2e_ms
qgran_backbone_per-tensor,385235.35021972656,34,CNN,lat_e2e_ms
prune_object_none,319011.7120361328,22,Global,lat_e2e_ms
qgran_encoder_per-tensor,270668.52880859375,32,CNN,lat_e2e_ms
prune_rate__decoder,189995.3371887207,28,Transformer,lat_e2e_ms
qbits_backbone_INT8,145498.62963867188,12,CNN,lat_e2e_ms
qbits_backbone_FP16,96465.00479125977,14,CNN,lat_e2e_ms
qbits_backbone_FP32,93618.45043945312,12,CNN,lat_e2e_ms
qbits_encoder_INT8,69673.79388427734,21,CNN,lat_e2e_ms
qbits_decoder_INT8,56585.548400878906,4,Transformer,lat_e2e_ms
qbits_encoder_FP16,25528.489990234375,7,CNN,lat_e2e_ms
qgran_backbone_per-channel,22831.42041015625,3,CNN,lat_e2e_ms
qbits_decoder_FP16,22669.219970703125,9,Transformer,lat_e2e_ms
qbits_heads_INT8,22335.91600036621,3,MLP,lat_e2e_ms
qbits_heads_FP16,17514.385772705078,7,MLP,lat_e2e_ms
qbits_v2x_comm_FP16,2977.800048828125,1,MLP,lat_e2e_ms
qgran_v2x_comm_per-tensor,0.0,0,MLP,lat_e2e_ms
crit_v2x_comm_L1,0.0,0,MLP,lat_e2e_ms
qbits_v2x_comm_FP32,0.0,0,MLP,lat_e2e_ms
qbits_v2x_comm_INT8,0.0,0,MLP,lat_e2e_ms
prune_rate__backbone,0.0,0,CNN,lat_e2e_ms
qgran_v2x_comm_per-channel,0.0,0,MLP,lat_e2e_ms
d_dla_v2x_comm,0.0,0,MLP,lat_e2e_ms
prune_object_channel,0.0,0,Global,lat_e2e_ms
prune_object_2:4,0.0,0,Global,lat_e2e_ms
d_dla_heads,0.0,0,MLP,lat_e2e_ms
d_temporal_cache_int8,0.0,0,Global,lat_e2e_ms
d_runtime_pytorch_fp32,0.0,0,Global,lat_e2e_ms
prune_rate__v2x_comm,0.0,0,MLP,lat_e2e_ms
qgran_decoder_per-channel,0.0,0,Transformer,lat_e2e_ms
qgran_heads_per-channel,0.0,0,MLP,lat_e2e_ms
crit_decoder_Wanda,0.0,0,Transformer,lat_e2e_ms
crit_backbone_FPGM,0.0,0,CNN,lat_e2e_ms
d_dla_backbone,0.0,0,CNN,lat_e2e_ms
crit_encoder_FPGM,0.0,0,CNN,lat_e2e_ms
qgran_encoder_per-channel,0.0,0,CNN,lat_e2e_ms
d_dla_encoder,0.0,0,CNN,lat_e2e_ms
crit_decoder_Taylor,0.0,0,Transformer,lat_e2e_ms
qbits_decoder_FP32,0.0,0,Transformer,lat_e2e_ms
qgran_heads_per-tensor,0.0,0,MLP,lat_e2e_ms
qgran_decoder_per-tensor,0.0,0,Transformer,lat_e2e_ms
crit_backbone_L1,0.0,0,CNN,lat_e2e_ms
d_dla_decoder,0.0,0,Transformer,lat_e2e_ms
prune_rate__heads,0.0,0,MLP,lat_e2e_ms
crit_heads_L1,0.0,0,MLP,lat_e2e_ms
qbits_heads_FP32,0.0,0,MLP,lat_e2e_ms
d_runtime_trt_int8,0.0,0,Global,lat_e2e_ms
