config_id,model_class,source,is_pareto,est_lat_4090_pytorch_ms,est_params_M,est_orin_fp16_ms,est_orin_int8_ms,est_orin_fp16_uncertainty_ms,est_orin_int8_uncertainty_ms,amota_pending,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m4_7_pyramid_0000,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU
m4_7_pyramid_0001,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU
m4_7_pyramid_0002,pyramid_fusion,m4_7_pyramid_pareto,False,3.4043376329957953,3.3703688064948616,3.3278155474161744,3.010168375828546,0.1573605509635277,0.12429292863145941,TBD: M4.5 OPV2V inference,"baseline_fp32,baseline_fp16,shallow_fp16","2.000,2.236,2.236",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0003,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU
m4_7_pyramid_0004,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU
m4_7_pyramid_0005,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0006,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.236,2.236,2.236",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0007,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0008,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0009,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU
