config_id,model_class,source,is_pareto,predicted_lat_ms,predicted_amota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m4_7_v3_pyramid_0000,pyramid_fusion,m4_7_v3_pyramid_pareto,False,23.799999999999997,0.9580576955022284,none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU
m4_7_v3_pyramid_0001,pyramid_fusion,m4_7_v3_pyramid_pareto,False,31.3,0.960482211628215,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU
m4_7_v3_pyramid_0002,pyramid_fusion,m4_7_v3_pyramid_pareto,False,32.5,0.9591235912379215,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0003,pyramid_fusion,m4_7_v3_pyramid_pareto,False,27.599999999999998,0.9614669183306976,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU
m4_7_v3_pyramid_0004,pyramid_fusion,m4_7_v3_pyramid_pareto,False,31.400000000000002,0.9600843972537099,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU
m4_7_v3_pyramid_0005,pyramid_fusion,m4_7_v3_pyramid_pareto,False,28.8,0.961351894038811,none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0006,pyramid_fusion,m4_7_v3_pyramid_pareto,False,30.0,0.9580041603824339,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0007,pyramid_fusion,m4_7_v3_pyramid_pareto,False,26.299999999999997,0.9573673171050248,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0008,pyramid_fusion,m4_7_v3_pyramid_pareto,False,31.3,0.9591645130643889,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0009,pyramid_fusion,m4_7_v3_pyramid_pareto,True,26.299999999999997,0.9605996466735863,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU
m4_7_v3_pyramid_0010,pyramid_fusion,m4_7_v3_pyramid_pareto,False,26.299999999999997,0.9583623363198271,none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
