config_id,model_class,source,is_pareto,est_lat_4090_pytorch_ms,est_params_M,est_orin_fp16_ms,est_orin_int8_ms,est_orin_fp16_uncertainty_ms,est_orin_int8_uncertainty_ms,amota_pending,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m5_6_uniad_tiny_0000,uniad_tiny_variant,m5_6_uniad_tiny_pareto,True,520.2492419602759,98.74042072501985,493.5028376636913,483.3297541178585,24.04776381747555,18.994385655172554,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_P1_20,v3_P1_30","2.000,2.254,2.276",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0001,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,538.780692453372,100.39764470417053,511.07804074540354,500.5515909774641,24.904353137959834,19.6709719700114,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_D2,v3_E4","1.732,2.000,2.250",none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0002,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,537.8988146977871,100.3842951006156,510.2416690510548,499.7320353338054,24.86358962256809,19.638774467661985,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_D3,v3_E4","2.000,2.449,2.462",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0003,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.5517714904066,100.627773,506.118939035768,495.69219673795163,24.66265387884349,19.4800632029813,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D3,v3_D1","1.414,1.732,2.236",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0004,uniad_tiny_variant,m5_6_uniad_tiny_pareto,True,519.8224771760698,99.84619955547265,493.09809450808467,482.9331487094605,24.0280372366207,18.978804402493143,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_E4,v3_E5","2.236,2.250,2.291",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0005,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,538.2257721721048,100.62777299999999,510.5517550862715,500.03588679350776,24.87870275582538,19.650711738991074,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_D2,v3_D3","1.732,2.000,2.236",none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0006,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,523.5729794224147,100.39782716121294,496.655065866721,486.41860376610595,24.201398742881004,19.115735858268536,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D3,v3_E4","1.732,2.449,2.462",none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0007,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.9599425964436,100.36691914625483,506.5060479716476,496.0715224794306,24.681520993994123,19.49496559740316,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_D1,v3_E4","1.732,1.732,1.750",none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0008,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,536.0566223990518,100.366472663537,508.49453631700896,498.0200303698842,24.778436965469663,19.57151572290856,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_D3,v3_E4","2.000,2.000,2.016",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0009,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,523.4612155894615,100.3761249677608,496.5490691957062,486.31473825926713,24.196232622411383,19.111655342288515,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D3,v3_E4","2.000,2.236,2.250",none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
