config_id,model_class,source,is_pareto,predicted_lat_ms,predicted_amota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m5_6_v2_uniad_tiny_0000,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,518.9499999999999,0.34008792826230455,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0001,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,497.55,0.3250109918617605,none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0002,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,502.90000000000003,0.33184904394621384,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0003,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,481.5,0.30485041403479446,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0004,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,513.6000000000001,0.33585952436671934,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0005,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,497.55,0.3278783226505107,none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0006,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,True,486.8500000000001,0.3420492097672047,none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0007,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,518.9499999999999,0.30377228573100573,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0008,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,508.25,0.32727153877165,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0009,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,497.55,0.3384320437686069,none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
